year,month,npgo
1950,1,-2.188
1950,2,-1.446
1950,3,-0.965
1950,4,-0.859
1950,5,-0.634
1950,6,-0.581
1950,7,-0.742
1950,8,-0.549
1950,9,-0.602
1950,10,0.119
1950,11,-0.257
1950,12,-0.493
1951,1,-0.479
1951,2,-0.414
1951,3,-0.570
1951,4,-0.561
1951,5,-1.071
1951,6,-1.435
1951,7,-1.104
1951,8,-1.175
1951,9,-1.420
1951,10,-1.069
1951,11,-1.012
1951,12,-1.225
1952,1,-1.335
1952,2,-1.091
1952,3,-0.670
1952,4,-0.434
1952,5,-0.627
1952,6,-0.973
1952,7,-1.336
1952,8,-0.897
1952,9,-0.583
1952,10,-0.258
1952,11,-0.316
1952,12,0.845
1953,1,0.944
1953,2,0.748
1953,3,1.217
1953,4,1.250
1953,5,1.271
1953,6,1.057
1953,7,1.041
1953,8,0.619
1953,9,0.291
1953,10,1.082
1953,11,2.050
1953,12,1.419
1954,1,1.094
1954,2,1.157
1954,3,0.079
1954,4,-0.373
1954,5,-0.164
1954,6,0.178
1954,7,-0.035
1954,8,-0.132
1954,9,-0.263
1954,10,0.184
1954,11,0.355
1954,12,0.404
1955,1,0.326
1955,2,-0.249
1955,3,-0.216
1955,4,0.041
1955,5,0.261
1955,6,-0.016
1955,7,-0.088
1955,8,0.275
1955,9,-0.110
1955,10,-0.524
1955,11,-0.080
1955,12,-0.518
1956,1,0.120
1956,2,-0.138
1956,3,0.023
1956,4,-0.038
1956,5,0.142
1956,6,0.471
1956,7,0.464
1956,8,0.540
1956,9,0.301
1956,10,-0.052
1956,11,-0.226
1956,12,-0.767
1957,1,-1.272
1957,2,-1.959
1957,3,-1.339
1957,4,-1.255
1957,5,-1.038
1957,6,-1.168
1957,7,-0.756
1957,8,-0.905
1957,9,-0.922
1957,10,-1.029
1957,11,-1.407
1957,12,-0.717
1958,1,0.117
1958,2,0.147
1958,3,-1.152
1958,4,-0.719
1958,5,-0.851
1958,6,-0.723
1958,7,-0.870
1958,8,-0.629
1958,9,-0.204
1958,10,-0.509
1958,11,-0.775
1958,12,-0.405
1959,1,0.123
1959,2,-0.591
1959,3,-0.392
1959,4,-0.451
1959,5,-0.438
1959,6,-0.373
1959,7,-0.396
1959,8,-0.504
1959,9,0.073
1959,10,0.134
1959,11,-0.048
1959,12,0.423
1960,1,1.016
1960,2,0.819
1960,3,0.863
1960,4,0.793
1960,5,0.919
1960,6,0.313
1960,7,0.709
1960,8,0.438
1960,9,0.524
1960,10,0.489
1960,11,0.953
1960,12,1.136
1961,1,1.103
1961,2,1.359
1961,3,1.749
1961,4,0.957
1961,5,1.400
1961,6,1.202
1961,7,1.063
1961,8,1.075
1961,9,0.773
1961,10,0.349
1961,11,0.221
1961,12,0.397
1962,1,0.175
1962,2,-0.150
1962,3,-0.608
1962,4,-0.471
1962,5,-0.739
1962,6,-0.304
1962,7,-0.062
1962,8,-0.371
1962,9,0.334
1962,10,0.164
1962,11,0.446
1962,12,0.465
1963,1,-0.813
1963,2,-0.280
1963,3,-1.097
1963,4,-0.811
1963,5,-0.428
1963,6,-0.716
1963,7,-0.367
1963,8,-0.135
1963,9,0.120
1963,10,0.507
1963,11,0.661
1963,12,0.541
1964,1,1.073
1964,2,0.292
1964,3,0.352
1964,4,0.250
1964,5,0.272
1964,6,0.884
1964,7,1.604
1964,8,0.782
1964,9,0.913
1964,10,0.713
1964,11,0.074
1964,12,-0.679
1965,1,-0.609
1965,2,-0.838
1965,3,-0.943
1965,4,-0.879
1965,5,-1.159
1965,6,-0.830
1965,7,-0.692
1965,8,-0.444
1965,9,-0.857
1965,10,-0.683
1965,11,-0.918
1965,12,-1.194
1966,1,-0.323
1966,2,-1.114
1966,3,-0.599
1966,4,-1.369
1966,5,-1.679
1966,6,-1.264
1966,7,-1.114
1966,8,-0.978
1966,9,-0.753
1966,10,-0.800
1966,11,-0.938
1966,12,-0.545
1967,1,-0.736
1967,2,-0.610
1967,3,-1.119
1967,4,-0.891
1967,5,-0.995
1967,6,-1.252
1967,7,-1.173
1967,8,-0.754
1967,9,-0.052
1967,10,0.007
1967,11,-0.588
1967,12,-0.233
1968,1,-0.766
1968,2,-0.626
1968,3,-0.632
1968,4,-1.158
1968,5,-1.259
1968,6,-1.038
1968,7,-1.021
1968,8,-0.960
1968,9,-0.915
1968,10,-0.738
1968,11,-0.225
1968,12,-0.869
1969,1,-2.559
1969,2,-0.737
1969,3,-0.733
1969,4,-0.183
1969,5,-0.091
1969,6,-0.776
1969,7,-0.731
1969,8,-0.232
1969,9,0.015
1969,10,0.290
1969,11,-0.041
1969,12,1.127
1970,1,-0.192
1970,2,-0.321
1970,3,-0.413
1970,4,-0.222
1970,5,0.484
1970,6,0.371
1970,7,0.272
1970,8,0.413
1970,9,0.399
1970,10,0.226
1970,11,-0.214
1970,12,-0.072
1971,1,-0.202
1971,2,0.060
1971,3,0.454
1971,4,0.854
1971,5,0.495
1971,6,0.413
1971,7,0.791
1971,8,0.706
1971,9,0.528
1971,10,0.331
1971,11,0.182
1971,12,-0.028
1972,1,-0.531
1972,2,-0.408
1972,3,-0.694
1972,4,-0.681
1972,5,-0.747
1972,6,-0.761
1972,7,-0.322
1972,8,-0.427
1972,9,-0.925
1972,10,-1.095
1972,11,-0.556
1972,12,-0.762
1973,1,-0.048
1973,2,-0.503
1973,3,-0.072
1973,4,-0.051
1973,5,0.255
1973,6,0.514
1973,7,0.324
1973,8,0.167
1973,9,0.357
1973,10,0.350
1973,11,-0.113
1973,12,0.339
1974,1,-1.003
1974,2,-0.386
1974,3,-0.026
1974,4,0.015
1974,5,-0.166
1974,6,0.219
1974,7,0.377
1974,8,0.262
1974,9,-0.168
1974,10,0.007
1974,11,0.043
1974,12,0.716
1975,1,0.639
1975,2,0.985
1975,3,0.716
1975,4,0.649
1975,5,0.716
1975,6,0.458
1975,7,0.511
1975,8,1.026
1975,9,0.573
1975,10,0.956
1975,11,1.274
1975,12,1.079
1976,1,1.078
1976,2,1.183
1976,3,1.680
1976,4,2.436
1976,5,2.181
1976,6,2.067
1976,7,2.267
1976,8,2.436
1976,9,2.432
1976,10,1.693
1976,11,1.575
1976,12,1.330
1977,1,1.322
1977,2,1.934
1977,3,1.699
1977,4,1.396
1977,5,1.072
1977,6,0.924
1977,7,1.037
1977,8,1.285
1977,9,0.766
1977,10,1.253
1977,11,1.449
1977,12,0.854
1978,1,1.215
1978,2,1.245
1978,3,0.616
1978,4,0.453
1978,5,0.587
1978,6,0.384
1978,7,0.426
1978,8,0.864
1978,9,1.286
1978,10,0.352
1978,11,-0.259
1978,12,-1.115
1979,1,-0.515
1979,2,-0.233
1979,3,-0.629
1979,4,-1.034
1979,5,-0.782
1979,6,-0.823
1979,7,-1.148
1979,8,-1.251
1979,9,-0.785
1979,10,-0.613
1979,11,-0.492
1979,12,-0.541
1980,1,-1.903
1980,2,-1.722
1980,3,-1.151
1980,4,-0.066
1980,5,-0.211
1980,6,-0.683
1980,7,-0.990
1980,8,-1.083
1980,9,-0.697
1980,10,-0.066
1980,11,-0.135
1980,12,-0.283
1981,1,-0.264
1981,2,-1.058
1981,3,-0.691
1981,4,-0.627
1981,5,0.200
1981,6,0.009
1981,7,-0.526
1981,8,-0.698
1981,9,0.003
1981,10,-0.288
1981,11,0.756
1981,12,0.521
1982,1,-0.200
1982,2,-0.873
1982,3,-0.621
1982,4,-1.071
1982,5,-0.993
1982,6,-0.848
1982,7,-0.611
1982,8,-0.457
1982,9,-0.460
1982,10,-1.007
1982,11,-0.866
1982,12,-0.234
1983,1,0.605
1983,2,0.474
1983,3,0.430
1983,4,-0.721
1983,5,-0.744
1983,6,-0.077
1983,7,-0.049
1983,8,-0.010
1983,9,-0.410
1983,10,-0.487
1983,11,0.561
1983,12,-0.678
1984,1,-0.215
1984,2,0.401
1984,3,0.719
1984,4,1.160
1984,5,0.982
1984,6,0.737
1984,7,0.416
1984,8,0.368
1984,9,0.823
1984,10,0.943
1984,11,0.862
1984,12,0.252
1985,1,0.324
1985,2,-0.065
1985,3,0.231
