Survey,Haul,Latitude,Longitude,DateTime,Length (mm),Weight (g),Age,Maturity,MaturityTable,Sex_index
199202,2,55.68083,-163.09717,2/25/1992 12:00,510,967,,3,3,1
199202,2,55.68083,-163.09717,2/25/1992 12:00,530,996,,3,3,1
199202,2,55.68083,-163.09717,2/25/1992 12:00,530,958,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,530,975,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,530,1040,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,530,1085,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,530,1116,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,530,1193,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,530,1287,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,530,1328,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,540,979,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,540,1031,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,540,1075,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,540,1079,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,540,1100,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,540,1261,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,550,1257,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,550,1317,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,550,1438,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,560,958,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,560,1235,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,560,1433,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,570,1381,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,570,1534,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,570,1544,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,580,1295,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,590,1254,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,590,1560,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,610,1881,,3,3,2
199202,2,55.68083,-163.09717,2/25/1992 12:00,620,1879,,3,3,2
