"model","year","month","pc1"
"ACCESS-CM2","1950","Jan",1.79799861021924
"ACCESS-CM2","1950","Feb",1.90592847485995
"ACCESS-CM2","1950","Mar",1.87208846129263
"ACCESS-CM2","1950","Apr",2.49723849496007
"ACCESS-CM2","1950","May",2.91705148759398
"ACCESS-CM2","1950","Jun",2.85409473833579
"ACCESS-CM2","1950","Jul",2.46345213266982
"ACCESS-CM2","1950","Aug",1.6243100876644
"ACCESS-CM2","1950","Sep",0.751505813125084
"ACCESS-CM2","1950","Oct",1.18139493627669
"ACCESS-CM2","1950","Nov",0.733855293145709
"ACCESS-CM2","1950","Dec",1.02486294589292
"ACCESS-CM2","1951","Jan",0.894116224934644
"ACCESS-CM2","1951","Feb",0.703552571302485
"ACCESS-CM2","1951","Mar",0.924761190426485
"ACCESS-CM2","1951","Apr",0.758096024815809
"ACCESS-CM2","1951","May",0.0135762186938805
"ACCESS-CM2","1951","Jun",-0.473524693707237
"ACCESS-CM2","1951","Jul",-0.495147703602824
"ACCESS-CM2","1951","Aug",-0.221453545159741
"ACCESS-CM2","1951","Sep",-0.0510736558270933
"ACCESS-CM2","1951","Oct",0.00871926869141572
"ACCESS-CM2","1951","Nov",0.560087449612834
"ACCESS-CM2","1951","Dec",1.40046644591158
"ACCESS-CM2","1952","Jan",1.35620979057308
"ACCESS-CM2","1952","Feb",1.11996150777613
"ACCESS-CM2","1952","Mar",1.13269448502557
"ACCESS-CM2","1952","Apr",1.20766582355709
"ACCESS-CM2","1952","May",1.27052628460761
"ACCESS-CM2","1952","Jun",1.57161462736147
"ACCESS-CM2","1952","Jul",1.63008853102721
"ACCESS-CM2","1952","Aug",0.880907047072685
"ACCESS-CM2","1952","Sep",0.60727816123906
"ACCESS-CM2","1952","Oct",-0.270077654531026
"ACCESS-CM2","1952","Nov",0.556018696790436
"ACCESS-CM2","1952","Dec",0.363252120987408
"ACCESS-CM2","1953","Jan",0.208467297651165
"ACCESS-CM2","1953","Feb",0.0311894163869988
"ACCESS-CM2","1953","Mar",-0.191710345831326
"ACCESS-CM2","1953","Apr",-0.363512277635015
"ACCESS-CM2","1953","May",-0.655535708720404
"ACCESS-CM2","1953","Jun",-0.582759629063036
"ACCESS-CM2","1953","Jul",-0.111736093104219
"ACCESS-CM2","1953","Aug",-0.275671797617502
"ACCESS-CM2","1953","Sep",0.121812939807793
"ACCESS-CM2","1953","Oct",-0.380114754983119
"ACCESS-CM2","1953","Nov",-0.365842994890308
"ACCESS-CM2","1953","Dec",-0.00741780061054431
"ACCESS-CM2","1954","Jan",-0.28485629270957
"ACCESS-CM2","1954","Feb",-0.51677050878958
"ACCESS-CM2","1954","Mar",-0.836519275084808
"ACCESS-CM2","1954","Apr",-0.953452942924171
"ACCESS-CM2","1954","May",-1.26255596515619
"ACCESS-CM2","1954","Jun",-1.36761994332789
"ACCESS-CM2","1954","Jul",-0.475601026305553
"ACCESS-CM2","1954","Aug",-0.366504993664088
"ACCESS-CM2","1954","Sep",-0.513286355695224
"ACCESS-CM2","1954","Oct",0.289671084381158
"ACCESS-CM2","1954","Nov",0.302920815860228
"ACCESS-CM2","1954","Dec",0.0122109440661556
"ACCESS-CM2","1955","Jan",-0.0827583761614576
"ACCESS-CM2","1955","Feb",-0.584943300400844
"ACCESS-CM2","1955","Mar",-0.75552779422149
"ACCESS-CM2","1955","Apr",-0.650483826628737
"ACCESS-CM2","1955","May",-0.850261896924817
"ACCESS-CM2","1955","Jun",-1.05935060147319
"ACCESS-CM2","1955","Jul",-1.41012587322659
"ACCESS-CM2","1955","Aug",-1.53414441120366
"ACCESS-CM2","1955","Sep",-0.762890042473742
"ACCESS-CM2","1955","Oct",-0.476323022099503
"ACCESS-CM2","1955","Nov",-0.443095240614229
"ACCESS-CM2","1955","Dec",-0.181006525584197
"ACCESS-CM2","1956","Jan",-0.3688474473495
"ACCESS-CM2","1956","Feb",-0.191817031759292
"ACCESS-CM2","1956","Mar",0.00951353118235971
"ACCESS-CM2","1956","Apr",0.401520568140852
"ACCESS-CM2","1956","May",1.134417331625
"ACCESS-CM2","1956","Jun",1.62892695995875
"ACCESS-CM2","1956","Jul",2.18341807903019
"ACCESS-CM2","1956","Aug",2.33981859935781
"ACCESS-CM2","1956","Sep",2.81767285587555
"ACCESS-CM2","1956","Oct",2.71637204841674
"ACCESS-CM2","1956","Nov",2.38195326036742
"ACCESS-CM2","1956","Dec",2.03491450438324
