"model","year","warming"
"ACCESS-CM2",1850,0.191211377943175
"ACCESS-CM2",1851,0.190866643790554
"ACCESS-CM2",1852,0.19051184856739
"ACCESS-CM2",1853,0.190130633436448
"ACCESS-CM2",1854,0.189699877614517
"ACCESS-CM2",1855,0.189190680146364
"ACCESS-CM2",1856,0.188569324434171
"ACCESS-CM2",1857,0.187798223228465
"ACCESS-CM2",1858,0.186836841386375
"ACCESS-CM2",1859,0.185642593382822
"ACCESS-CM2",1860,0.184171712311951
"ACCESS-CM2",1861,0.182380086940966
"ACCESS-CM2",1862,0.18022406327374
"ACCESS-CM2",1863,0.177661207042589
"ACCESS-CM2",1864,0.174651023574293
"ACCESS-CM2",1865,0.171155631562171
"ACCESS-CM2",1866,0.167140387421775
"ACCESS-CM2",1867,0.162574457106235
"ACCESS-CM2",1868,0.157431332504712
"ACCESS-CM2",1869,0.15168928984111
"ACCESS-CM2",1870,0.145331787824933
"ACCESS-CM2",1871,0.138347803674843
"ACCESS-CM2",1872,0.130732105538114
"ACCESS-CM2",1873,0.122485460255247
"ACCESS-CM2",1874,0.11361477586763
"ACCESS-CM2",1875,0.104133178730282
"ACCESS-CM2",1876,0.094060025564222
"ACCESS-CM2",1877,0.0834208512650773
"ACCESS-CM2",1878,0.072247253760903
"ACCESS-CM2",1879,0.0605767176895276
"ACCESS-CM2",1880,0.0484523791275113
"ACCESS-CM2",1881,0.0359227340545064
"ACCESS-CM2",1882,0.0230412936657936
"ACCESS-CM2",1883,0.00986619005333635
"ACCESS-CM2",1884,-0.00354026384583775
"ACCESS-CM2",1885,-0.0171120557869249
"ACCESS-CM2",1886,-0.0307799926807471
"ACCESS-CM2",1887,-0.0444722511482513
"ACCESS-CM2",1888,-0.0581149550960947
"ACCESS-CM2",1889,-0.0716327750514179
"ACCESS-CM2",1890,-0.0849495438456828
"ACCESS-CM2",1891,-0.0979888831350896
"ACCESS-CM2",1892,-0.110674835189469
"ACCESS-CM2",1893,-0.122932494372904
"ACCESS-CM2",1894,-0.134688632777718
"ACCESS-CM2",1895,-0.145872314557761
"ACCESS-CM2",1896,-0.156415493638308
"ACCESS-CM2",1897,-0.166253589654152
"ACCESS-CM2",1898,-0.175326037184915
"ACCESS-CM2",1899,-0.183576803615502
"ACCESS-CM2",1900,-0.19095487124467
"ACCESS-CM2",1901,-0.197414679596791
"ACCESS-CM2",1902,-0.202916524255421
"ACCESS-CM2",1903,-0.207426908929239
"ACCESS-CM2",1904,-0.210918847878815
"ACCESS-CM2",1905,-0.213372116271298
"ACCESS-CM2",1906,-0.214773446485988
"ACCESS-CM2",1907,-0.215116668863602
"ACCESS-CM2",1908,-0.214402795869706
"ACCESS-CM2",1909,-0.212640049126107
"ACCESS-CM2",1910,-0.209843829247347
"ACCESS-CM2",1911,-0.206036628898965
"ACCESS-CM2",1912,-0.201247889966161
"ACCESS-CM2",1913,-0.19551380618073
"ACCESS-CM2",1914,-0.18887707299838
"ACCESS-CM2",1915,-0.18138658694238
"ACCESS-CM2",1916,-0.173097097030824
"ACCESS-CM2",1917,-0.164068811279419
"ACCESS-CM2",1918,-0.154366961616663
"ACCESS-CM2",1919,-0.144061330862528
"ACCESS-CM2",1920,-0.13322574569971
"ACCESS-CM2",1921,-0.121937539809595
"ACCESS-CM2",1922,-0.110276991549613
"ACCESS-CM2",1923,-0.0983267407134549
"ACCESS-CM2",1924,-0.0861711890406236
"ACCESS-CM2",1925,-0.0738958892256408
"ACCESS-CM2",1926,-0.0615869272203512
"ACCESS-CM2",1927,-0.0493303026245672
"ACCESS-CM2",1928,-0.0372113119223535
"ACCESS-CM2",1929,-0.0253139392437296
"ACCESS-CM2",1930,-0.0137202592157686
"ACCESS-CM2",1931,-0.0025098563153426
"ACCESS-CM2",1932,0.00824073505130528
"ACCESS-CM2",1933,0.0184585657356663
"ACCESS-CM2",1934,0.0280747785437361
"ACCESS-CM2",1935,0.0370250829615254
"ACCESS-CM2",1936,0.0452501947293251
"ACCESS-CM2",1937,0.0526962374071821
"ACCESS-CM2",1938,0.0593151034140585
"ACCESS-CM2",1939,0.0650647723791244
"ACCESS-CM2",1940,0.0699095850101826
"ACCESS-CM2",1941,0.0738204710595603
"ACCESS-CM2",1942,0.0767751303476275
"ACCESS-CM2",1943,0.078758166185437
"ACCESS-CM2",1944,0.0797611709171568
"ACCESS-CM2",1945,0.079782763676948
"ACCESS-CM2",1946,0.07882858082086
"ACCESS-CM2",1947,0.0769112198482144
"ACCESS-CM2",1948,0.0740501379675227
"ACCESS-CM2",1949,0.0702715067848983
"ACCESS-CM2",1950,0.0656080248970325
"ACCESS-CM2",1951,0.0600986904539391
"ACCESS-CM2",1952,0.0537885360149655
