"model","year","warming"
"ACCESS-CM2",1940,0.173590686721351
"ACCESS-CM2",1941,0.166078560170126
"ACCESS-CM2",1942,0.158470338936923
"ACCESS-CM2",1943,0.150624361666176
"ACCESS-CM2",1944,0.142362862433377
"ACCESS-CM2",1945,0.133493061954283
"ACCESS-CM2",1946,0.123825748440683
"ACCESS-CM2",1947,0.11319153994477
"ACCESS-CM2",1948,0.101454950029486
"ACCESS-CM2",1949,0.0885262823462453
"ACCESS-CM2",1950,0.074371271554355
"ACCESS-CM2",1951,0.0590182848970329
"ACCESS-CM2",1952,0.0425628182507512
"ACCESS-CM2",1953,0.0251689787972552
"ACCESS-CM2",1954,0.00706765645612171
"ACCESS-CM2",1955,-0.0114488444177313
"ACCESS-CM2",1956,-0.0300358114422776
"ACCESS-CM2",1957,-0.0483086817889062
"ACCESS-CM2",1958,-0.0658588359639964
"ACCESS-CM2",1959,-0.0822720605455231
"ACCESS-CM2",1960,-0.0971488591778178
"ACCESS-CM2",1961,-0.110125562097216
"ACCESS-CM2",1962,-0.120895005582946
"ACCESS-CM2",1963,-0.129225447324427
"ACCESS-CM2",1964,-0.134976370229908
"ACCESS-CM2",1965,-0.138109917151937
"ACCESS-CM2",1966,-0.138696895297272
"ACCESS-CM2",1967,-0.136916585239032
"ACCESS-CM2",1968,-0.133049969538147
"ACCESS-CM2",1969,-0.127466435497479
"ACCESS-CM2",1970,-0.120604474077511
"ACCESS-CM2",1971,-0.112947356509279
"ACCESS-CM2",1972,-0.104995184011035
"ACCESS-CM2",1973,-0.0972350381497579
"ACCESS-CM2",1974,-0.0901111784231932
"ACCESS-CM2",1975,-0.0839973158770366
"ACCESS-CM2",1976,-0.079172923382787
"ACCESS-CM2",1977,-0.07580532264593
"ACCESS-CM2",1978,-0.0739389255401326
"ACCESS-CM2",1979,-0.0734925254740182
"ACCESS-CM2",1980,-0.0742649663784424
"ACCESS-CM2",1981,-0.0759489040973486
"ACCESS-CM2",1982,-0.0781517642615346
"ACCESS-CM2",1983,-0.0804224404885827
"ACCESS-CM2",1984,-0.0822818130081075
"ACCESS-CM2",1985,-0.0832548403837102
"ACCESS-CM2",1986,-0.0829018160486275
"ACCESS-CM2",1987,-0.0808464046048848
"ACCESS-CM2",1988,-0.0767982836947901
"ACCESS-CM2",1989,-0.0705686041911053
"ACCESS-CM2",1990,-0.0620770184354243
"ACCESS-CM2",1991,-0.0513496744664621
"ACCESS-CM2",1992,-0.0385082848146988
"ACCESS-CM2",1993,-0.0237510963842663
"ACCESS-CM2",1994,-0.00732725606767457
"ACCESS-CM2",1995,0.010493369539885
"ACCESS-CM2",1996,0.0294524502175495
"ACCESS-CM2",1997,0.0493348306790093
"ACCESS-CM2",1998,0.0699968460067986
"ACCESS-CM2",1999,0.0913888129685697
"ACCESS-CM2",2000,0.113569606592688
"ACCESS-CM2",2001,0.136711819665998
"ACCESS-CM2",2002,0.161096726376277
"ACCESS-CM2",2003,0.187099075800456
"ACCESS-CM2",2004,0.215162564358218
"ACCESS-CM2",2005,0.245767613883842
"ACCESS-CM2",2006,0.279393751036099
"ACCESS-CM2",2007,0.31647938903243
"ACCESS-CM2",2008,0.357382110580521
"ACCESS-CM2",2009,0.402342613214075
"ACCESS-CM2",2010,0.451455294733089
"ACCESS-CM2",2011,0.504648035804911
"ACCESS-CM2",2012,0.561673106305295
"ACCESS-CM2",2013,0.622110325709185
"ACCESS-CM2",2014,0.685382703340591
"ACCESS-CM2",2015,0.750783838311894
"ACCESS-CM2",2016,0.817515442354267
"ACCESS-CM2",2017,0.884732530861785
"ACCESS-CM2",2018,0.951593170840471
"ACCESS-CM2",2019,1.01730922965658
"ACCESS-CM2",2020,1.08119437003767
"ACCESS-CM2",2021,1.14270560017547
"ACCESS-CM2",2022,1.20147500788763
"ACCESS-CM2",2023,1.25732885885446
"ACCESS-CM2",2024,1.31029197604658
"ACCESS-CM2",2025,1.36057617942276
"ACCESS-CM2",2026,1.40855247837701
"ACCESS-CM2",2027,1.45470759337958
"ACCESS-CM2",2028,1.49958615464215
