"model","warming","year","UCI","LCI"
"ACCESS-CM2",0.5,2009.10573490602,2013.19737371565,2005.73945607446
"ACCESS-CM2",1,2022.21987551553,2025.40448473206,2019.01858939974
"ACCESS-CM2",1.5,2033.36235953932,2036.24865856565,2030.41713244041
"ACCESS-CM2",2,2046.21165293458,2049.18123746783,2043.30606443033
"ACCESS-ESM1-5",0.5,2004.48680768231,2007.19673705687,2001.93817373433
"ACCESS-ESM1-5",1,2019.06957752205,2022.02541067015,2016.24089345531
"ACCESS-ESM1-5",1.5,2032.49267960397,2035.19711958343,2029.69390029782
"ACCESS-ESM1-5",2,2047.5142944128,2050.33264053368,2044.71064518395
"BCC-CSM2-MR",0.5,2001.6340324202,2004.62969771778,1998.84940301479
"BCC-CSM2-MR",1,2024.17512657898,2027.57209991075,2021.07512345557
"BCC-CSM2-MR",1.5,2046.3673388269,2049.55435344487,2042.28533582612
"BCC-CSM2-MR",2,2074.71875214822,2077.84277719808,2072.07797220984
"CAMS-CSM1-0",0.5,2005.5844392574,2010.03775870454,2001.12587999798
"CAMS-CSM1-0",1,2045.90365417572,2050.6651633112,2041.11890028127
"CAMS-CSM1-0",1.5,2077.97882377357,2082.57086540537,2073.64064439943
"CAMS-CSM1-0",2,2089.70669838668,2101.90651328122,2077.45679586564
"CanESM5-CanOE",0.5,1997.66542943294,1999.74562123965,1995.66763481002
"CanESM5-CanOE",1,2010.93798004841,2013.31808386369,2008.54210035806
"CanESM5-CanOE",1.5,2019.55769833172,2022.15546926505,2016.8983371004
"CanESM5-CanOE",2,2029.02459653199,2031.32586203467,2026.79611024941
"CanESM5",0.5,1992.66316559164,1994.32697151079,1991.06599251947
"CanESM5",1,2007.67595635257,2009.53947100655,2005.85239170479
"CanESM5",1.5,2020.41490278615,2022.25626637594,2018.50073313401
"CanESM5",2,2032.49410141572,2034.23592386742,2030.76746727516
"CESM2-WACCM",0.5,2003.57733874285,2006.65761611599,2000.32296584889
"CESM2-WACCM",1,2022.61432678978,2025.90300454613,2019.70856234597
"CESM2-WACCM",1.5,2039.9339702591,2043.21399449486,2036.70075477905
"CESM2-WACCM",2,2060.33364579989,2063.15084126452,2057.10365358701
"CESM2",0.5,2007.34701793962,2009.95974567832,2004.59464561048
"CESM2",1,2025.37146178933,2028.3203901897,2022.79698095496
"CESM2",1.5,2042.9895265833,2045.7020537882,2040.11361672838
"CESM2",2,2063.77241388865,2066.27332762024,2060.9309514179
"CIESM",0.5,1995.21866841072,1998.16455132958,1991.67058017945
"CIESM",1,2023.75057496909,2026.75426600758,2021.00191836994
"CIESM",1.5,2051.19708267567,2054.38621197988,2048.39774789808
"CIESM",2,2076.9722503167,2080.19090514192,2073.97810686597
"CMCC-CM2-SR5",0.5,1985.93533138989,1988.69220614441,1983.20549400635
"CMCC-CM2-SR5",1,2003.49719761532,2005.73780510323,2001.08702099165
