"model","period","region","ersst.year","annual.anomaly.1yr","annual.1yr.events","annual.anomaly.2yr","annual.2yr.events","annual.anomaly.3yr","annual.3yr.events","winter.anomaly.1yr","winter.1yr.events","winter.anomaly.2yr","winter.2yr.events","winter.anomaly.3yr","winter.3yr.events"
"ACCESS-CM2","historical","Eastern_Bering_Sea",1950,-1.56728391625836,1,-1.45690820060948,1,NA,NA,NA,NA,NA,NA,NA,NA
"ACCESS-CM2","historical","Eastern_Bering_Sea",1950,-1.56728391625836,1,-1.45690820060948,1,NA,NA,NA,NA,NA,NA,NA,NA
"ACCESS-CM2","historical","Eastern_Bering_Sea",1950,-1.56728391625836,0,-1.45690820060948,0,NA,NA,NA,NA,NA,NA,NA,NA
"ACCESS-CM2","historical","Eastern_Bering_Sea",1950,-1.56728391625836,0,-1.45690820060948,1,NA,NA,NA,NA,NA,NA,NA,NA
"ACCESS-CM2","historical","Eastern_Bering_Sea",1950,-1.56728391625836,1,-1.45690820060948,1,NA,NA,NA,NA,NA,NA,NA,NA
"ACCESS-CM2","historical","Eastern_Bering_Sea",1950,-1.56728391625836,1,-1.45690820060948,1,NA,NA,NA,NA,NA,NA,NA,NA
"ACCESS-CM2","historical","Eastern_Bering_Sea",1950,-1.56728391625836,1,-1.45690820060948,1,NA,NA,NA,NA,NA,NA,NA,NA
"ACCESS-CM2","historical","Eastern_Bering_Sea",1950,-1.56728391625836,1,-1.45690820060948,1,NA,NA,NA,NA,NA,NA,NA,NA
"ACCESS-CM2","historical","Eastern_Bering_Sea",1950,-1.56728391625836,1,-1.45690820060948,1,NA,NA,NA,NA,NA,NA,NA,NA
"ACCESS-CM2","historical","Eastern_Bering_Sea",1950,-1.56728391625836,1,-1.45690820060948,1,NA,NA,NA,NA,NA,NA,NA,NA
"ACCESS-CM2","historical","Eastern_Bering_Sea",1951,-1.3465324849606,0,-1.69309524770493,1,-1.65115813722274,1,-2.05344586857455,1,-1.36736766196582,1,NA,NA
"ACCESS-CM2","historical","Eastern_Bering_Sea",1951,-1.3465324849606,1,-1.69309524770493,1,-1.65115813722274,1,-2.05344586857455,1,-1.36736766196582,1,NA,NA
"ACCESS-CM2","historical","Eastern_Bering_Sea",1951,-1.3465324849606,0,-1.69309524770493,0,-1.65115813722274,1,-2.05344586857455,1,-1.36736766196582,0,NA,NA
"ACCESS-CM2","historical","Eastern_Bering_Sea",1951,-1.3465324849606,0,-1.69309524770493,1,-1.65115813722274,1,-2.05344586857455,0,-1.36736766196582,0,NA,NA
"ACCESS-CM2","historical","Eastern_Bering_Sea",1951,-1.3465324849606,1,-1.69309524770493,1,-1.65115813722274,1,-2.05344586857455,1,-1.36736766196582,1,NA,NA
"ACCESS-CM2","historical","Eastern_Bering_Sea",1951,-1.3465324849606,1,-1.69309524770493,1,-1.65115813722274,1,-2.05344586857455,1,-1.36736766196582,1,NA,NA
"ACCESS-CM2","historical","Eastern_Bering_Sea",1951,-1.3465324849606,1,-1.69309524770493,1,-1.65115813722274,1,-2.05344586857455,1,-1.36736766196582,1,NA,NA
"ACCESS-CM2","historical","Eastern_Bering_Sea",1951,-1.3465324849606,1,-1.69309524770493,1,-1.65115813722274,1,-2.05344586857455,1,-1.36736766196582,1,NA,NA
"ACCESS-CM2","historical","Eastern_Bering_Sea",1951,-1.3465324849606,1,-1.69309524770493,1,-1.65115813722274,1,-2.05344586857455,1,-1.36736766196582,1,NA,NA
"ACCESS-CM2","historical","Eastern_Bering_Sea",1951,-1.3465324849606,1,-1.69309524770493,1,-1.65115813722274,1,-2.05344586857455,1,-1.36736766196582,1,NA,NA
"ACCESS-CM2","historical","Eastern_Bering_Sea",1951,-1.3465324849606,1,-1.69309524770493,1,-1.65115813722274,1,-2.05344586857455,1,-1.36736766196582,1,NA,NA
"ACCESS-CM2","historical","Eastern_Bering_Sea",1951,-1.3465324849606,1,-1.69309524770493,1,-1.65115813722274,1,-2.05344586857455,1,-1.36736766196582,1,NA,NA
"ACCESS-CM2","historical","Eastern_Bering_Sea",1952,-2.03965801044926,1,-1.29797248600343,1,-1.31415915232249,1,-0.681289455357091,1,-0.978045117535173,1,-1.3365120345483,1
"ACCESS-CM2","historical","Eastern_Bering_Sea",1952,-2.03965801044926,1,-1.29797248600343,1,-1.31415915232249,1,-0.681289455357091,0,-0.978045117535173,1,-1.3365120345483,1
"ACCESS-CM2","historical","Eastern_Bering_Sea",1952,-2.03965801044926,0,-1.29797248600343,0,-1.31415915232249,0,-0.681289455357091,1,-0.978045117535173,0,-1.3365120345483,0
"ACCESS-CM2","historical","Eastern_Bering_Sea",1952,-2.03965801044926,1,-1.29797248600343,1,-1.31415915232249,1,-0.681289455357091,0,-0.978045117535173,0,-1.3365120345483,0
"ACCESS-CM2","historical","Eastern_Bering_Sea",1952,-2.03965801044926,1,-1.29797248600343,1,-1.31415915232249,1,-0.681289455357091,0,-0.978045117535173,1,-1.3365120345483,0
