"Year","Estimate","LCI","UCI","variable"
1950,0.257679219919415,0.224871556876369,0.291242507296987,"Fraction of Attributable Risk"
1951,0.303191120259972,0.265266335424938,0.3402393990002,"Fraction of Attributable Risk"
1952,0.347982503941762,0.301944464876727,0.392358130373717,"Fraction of Attributable Risk"
1953,0.353774930343479,0.304652870724072,0.401072247606945,"Fraction of Attributable Risk"
1954,0.329412120750741,0.28061646163003,0.375383745602289,"Fraction of Attributable Risk"
1955,0.286334344394817,0.238550777563579,0.331380620595765,"Fraction of Attributable Risk"
1956,0.321779914862457,0.269383056062486,0.370733020310566,"Fraction of Attributable Risk"
1957,0.478725617277978,0.424725228108194,0.528620105547758,"Fraction of Attributable Risk"
1958,0.586903310822152,0.528576500072875,0.640362450124602,"Fraction of Attributable Risk"
1959,0.365962543814934,0.303529099242307,0.423583780727786,"Fraction of Attributable Risk"
1960,0.207581714093275,0.135832616181932,0.2754343681327,"Fraction of Attributable Risk"
1961,0.105644789043785,0.0259592939346583,0.181070671621985,"Fraction of Attributable Risk"
1962,0.201304850544662,0.118859415666876,0.2770981982692,"Fraction of Attributable Risk"
1963,0.0313603444600236,-0.0610590881274868,0.118162755158775,"Fraction of Attributable Risk"
1964,-0.10055670360217,-0.189987855515728,-0.0200955122864313,"Fraction of Attributable Risk"
1965,0.024272113356345,-0.0255303900773437,0.0726403500230597,"Fraction of Attributable Risk"
1966,-0.0311190558953289,-0.0891122265323589,0.0232500527207597,"Fraction of Attributable Risk"
1967,-0.186050654056806,-0.276157660021674,-0.103472877152911,"Fraction of Attributable Risk"
1968,-0.219228103205623,-0.313212090617877,-0.13201766821452,"Fraction of Attributable Risk"
1969,-0.219096895739435,-0.307731707453859,-0.136358055352352,"Fraction of Attributable Risk"
1970,0.00727144722186968,-0.0362219233024773,0.0494985521310249,"Fraction of Attributable Risk"
1971,0.0502484775816861,0.0125293727284119,0.0865088748736158,"Fraction of Attributable Risk"
1972,0.0455259357622419,0.012114167952643,0.0742218658827955,"Fraction of Attributable Risk"
1973,0.048362942693996,0.0105371512461534,0.0845674294078633,"Fraction of Attributable Risk"
1974,0.0427828300325018,0.00381273808521916,0.0795586922419608,"Fraction of Attributable Risk"
1975,0.0235310400151633,-0.0197782196534747,0.0654197285895257,"Fraction of Attributable Risk"
1976,-0.0464949423993064,-0.107669677326281,0.0105714638302234,"Fraction of Attributable Risk"
1977,-0.137108253669377,-0.228681203571911,-0.0542645442716489,"Fraction of Attributable Risk"
1978,-0.0138751263590771,-0.103687535305422,0.0725821018930161,"Fraction of Attributable Risk"
1979,-0.0437873056153925,-0.126782572846858,0.033597065586201,"Fraction of Attributable Risk"
1980,0.144435064425509,0.0695379925298268,0.215173464343875,"Fraction of Attributable Risk"
1981,0.0569053650537399,-0.00792713348839127,0.117762951533189,"Fraction of Attributable Risk"
1982,0.252744004762526,0.194014296998399,0.309079646371012,"Fraction of Attributable Risk"
1983,0.335289822783929,0.282304995662633,0.384413916729346,"Fraction of Attributable Risk"
1984,0.405556152924762,0.357323847207127,0.449959771782103,"Fraction of Attributable Risk"
1985,0.319032748097899,0.281626566562772,0.35430582009477,"Fraction of Attributable Risk"
