"Year","Estimate","LCI","UCI","variable"
1950,0.163434718223885,0.134421449703401,0.192923498971006,"Fraction of Attributable Risk"
1951,0.275268667130133,0.230908652234045,0.318236964735687,"Fraction of Attributable Risk"
1952,0.252537436034865,0.211843173705796,0.29247280030501,"Fraction of Attributable Risk"
1953,0.265511541427511,0.217034701120287,0.311750062821013,"Fraction of Attributable Risk"
1954,0.254172494967628,0.201907836079308,0.304345947822041,"Fraction of Attributable Risk"
1955,0.204904796500188,0.167848732631114,0.241191428143423,"Fraction of Attributable Risk"
1956,0.187370480510289,0.147713470391902,0.226433577587208,"Fraction of Attributable Risk"
1957,0.381386919506403,0.31712874533809,0.43951882836937,"Fraction of Attributable Risk"
1958,0.316445749626155,0.249876829761968,0.376873406236379,"Fraction of Attributable Risk"
1959,0.160686385534828,0.0947398562799772,0.222578215063373,"Fraction of Attributable Risk"
1960,0.073998412271228,0.0190518749577255,0.127567944883275,"Fraction of Attributable Risk"
1961,0.0444478373878481,-0.0236716126349141,0.109499566822684,"Fraction of Attributable Risk"
1962,0.0108885510606832,-0.0598226654953509,0.0786938938829106,"Fraction of Attributable Risk"
1963,0.11839424449459,0.0328359221130135,0.19783423722332,"Fraction of Attributable Risk"
1964,0.00162544721319637,-0.0525318846183287,0.0518143977303671,"Fraction of Attributable Risk"
1965,0.0179694490800814,-0.0186646961108681,0.0509022498505693,"Fraction of Attributable Risk"
1966,0.00123224917720304,-0.0430095052099593,0.0407952526422656,"Fraction of Attributable Risk"
1967,-0.0952967659286004,-0.168696294876262,-0.025102402484157,"Fraction of Attributable Risk"
1968,-0.10627938194392,-0.179292310540443,-0.0365548966578934,"Fraction of Attributable Risk"
1969,-0.0282613772635212,-0.0760837614397744,0.0143002684682713,"Fraction of Attributable Risk"
1970,-0.101369644455693,-0.168925837027078,-0.0371292691454655,"Fraction of Attributable Risk"
1971,0.00334981770708324,-0.0246379610473491,0.0355433938383122,"Fraction of Attributable Risk"
1972,0.00358071167203306,-0.0247589435719275,0.0359975789366814,"Fraction of Attributable Risk"
1973,-0.00080222295194879,-0.031538201902586,0.0296530345482,"Fraction of Attributable Risk"
1974,-0.0562923699485357,-0.113451588402841,-0.0027196880892178,"Fraction of Attributable Risk"
1975,0.00865932045495154,-0.0203685043371472,0.0388922899857404,"Fraction of Attributable Risk"
1976,0.00284416773033658,-0.0380402057663656,0.0406355595586765,"Fraction of Attributable Risk"
1977,-0.0470014578273919,-0.136566795536475,0.0374355172462431,"Fraction of Attributable Risk"
1978,-0.00124722958528217,-0.0569997769062379,0.050942055629483,"Fraction of Attributable Risk"
1979,0.00816591655302724,-0.0719798381798366,0.083939863334289,"Fraction of Attributable Risk"
1980,0.048108227052748,0.000298724972631678,0.0930294433309364,"Fraction of Attributable Risk"
1981,0.194026395179877,0.121160239753986,0.261666629122887,"Fraction of Attributable Risk"
1982,0.0978487546050247,0.0651991647480905,0.127737334469322,"Fraction of Attributable Risk"
1983,0.310100263084998,0.247645887035316,0.368548054953326,"Fraction of Attributable Risk"
1984,0.382741644797533,0.324458980771318,0.43679603749883,"Fraction of Attributable Risk"
1985,0.165527552081273,0.137405130363787,0.191065544210769,"Fraction of Attributable Risk"
1986,0.216247880015617,0.183721003590148,0.248551892781758,"Fraction of Attributable Risk"
1987,0.266055065575852,0.230853073853464,0.301699523432653,"Fraction of Attributable Risk"
1988,0.274553455235004,0.246995268671811,0.302219155116851,"Fraction of Attributable Risk"
1989,0.316855217988012,0.288288042148003,0.346039463768589,"Fraction of Attributable Risk"
1990,0.321711250243003,0.297608496463957,0.346557169757595,"Fraction of Attributable Risk"
1991,0.295531147947401,0.272450451485969,0.31884306519225,"Fraction of Attributable Risk"
1992,0.338768832797076,0.31633816478385,0.361995649231285,"Fraction of Attributable Risk"
1993,0.484921124034909,0.45669680391993,0.512144009803655,"Fraction of Attributable Risk"
1994,0.423790416901219,0.400999300474169,0.447072324588148,"Fraction of Attributable Risk"
1995,0.371851458335044,0.349068986578075,0.395102706418186,"Fraction of Attributable Risk"
