"ACCESS-CM2.nc_piControl","date"
15.1120323759586,01/01/50
14.5314226439461,02/01/50
14.4655699154302,03/01/50
14.9089219062869,04/01/50
15.8512800086999,05/01/50
17.4576758295615,06/01/50
19.5926778659701,07/01/50
20.7458236432303,08/01/50
20.8716575383249,09/01/50
19.2682636337637,10/01/50
17.6477764166808,11/01/50
16.1002219879622,12/01/50
15.1034509724919,01/01/51
14.5644149783352,02/01/51
14.4105616191862,03/01/51
14.7201403913887,04/01/51
15.8861289782649,05/01/51
17.5380412159874,06/01/51
19.5739889353188,07/01/51
20.840927241537,08/01/51
20.7505700785239,09/01/51
19.3735716769767,10/01/51
17.6707510930456,11/01/51
16.2127776044951,12/01/51
15.1557148452011,01/01/52
14.6687324783775,02/01/52
14.5351655402836,03/01/52
14.8559086833738,04/01/52
15.8811544559237,05/01/52
17.3061481653355,06/01/52
19.3510498706939,07/01/52
20.8787635897441,08/01/52
20.6913094071001,09/01/52
19.345202648321,10/01/52
17.6247091178113,11/01/52
16.1977063480792,12/01/52
15.1683826522489,01/01/53
14.6231778450968,02/01/53
14.5612860777925,03/01/53
14.9686172757199,04/01/53
16.0701661504112,05/01/53
17.792451667571,06/01/53
19.7438327273684,07/01/53
21.1661983145116,08/01/53
21.045194776647,09/01/53
19.6654653878854,10/01/53
17.9030543920087,11/01/53
16.4452848712092,12/01/53
15.3763691846672,01/01/54
14.7281873156463,02/01/54
14.5226672291152,03/01/54
14.8333256427123,04/01/54
15.9054107590261,05/01/54
17.6270135569158,06/01/54
19.738235178263,07/01/54
21.1749306012499,08/01/54
21.0461603194509,09/01/54
19.3739027391038,10/01/54
17.6759276007299,11/01/54
16.2900117775689,12/01/54
15.2075717736123,01/01/55
14.5612758353514,02/01/55
14.3927180753905,03/01/55
14.7988132419631,04/01/55
15.6745670629807,05/01/55
17.4271562186848,06/01/55
19.6255423350466,07/01/55
20.9834559851559,08/01/55
20.9063811756542,09/01/55
19.5710710510886,10/01/55
17.7386395342554,11/01/55
16.1264080550671,12/01/55
15.0335652552757,01/01/56
14.4299891069315,02/01/56
14.323910457696,03/01/56
14.6348920037885,04/01/56
15.6704894701016,05/01/56
17.2838838518183,06/01/56
19.2784224832872,07/01/56
20.7299390488874,08/01/56
20.7517798980404,09/01/56
19.2145740793394,10/01/56
17.4354638295874,11/01/56
15.9911817313879,12/01/56
14.9372756263479,01/01/57
14.333651900213,02/01/57
14.18003620975,03/01/57
14.5565536294883,04/01/57
15.6063172728558,05/01/57
17.325979513633,06/01/57
19.2263246923105,07/01/57
20.6901960647704,08/01/57
20.5443870968021,09/01/57
19.060216637903,10/01/57
17.3772376447105,11/01/57
15.8542910661036,12/01/57
14.8035309323415,01/01/58
14.2564746663008,02/01/58
14.1936051313435,03/01/58
14.544762487288,04/01/58
15.5816232981322,05/01/58
17.2298988084761,06/01/58
19.2710874637502,07/01/58
20.7329194891017,08/01/58
20.5478091734535,09/01/58
19.2290049078546,10/01/58
17.5858994073023,11/01/58
16.0530890275545,12/01/58
14.9452784970956,01/01/59
14.3048132611414,02/01/59
14.2133735932556,03/01/59
14.5240902676197,04/01/59
15.5644974961469,05/01/59
17.2926986287539,06/01/59
19.4761235123409,07/01/59
20.771232165885,08/01/59
20.592211036513,09/01/59
19.1434633441458,10/01/59
17.3705736702634,11/01/59
15.9372934956338,12/01/59
14.9430164594944,01/01/60
14.3538827037118,02/01/60
14.2609280356196,03/01/60
14.569640165148,04/01/60
15.6589904026722,05/01/60
17.4071418280535,06/01/60
19.5687560391418,07/01/60
20.7894587549495,08/01/60
20.7186038605149,09/01/60
19.4207648805592,10/01/60
17.5519094811808,11/01/60
15.9493979684235,12/01/60
14.7825241262652,01/01/61
14.2727948397231,02/01/61
14.1329676776007,03/01/61
14.476318531318,04/01/61
15.4135920877486,05/01/61
17.0306698935643,06/01/61
19.0629583080934,07/01/61
20.3279606828177,08/01/61
20.2330298844037,09/01/61
18.9877627111916,10/01/61
17.4030635743717,11/01/61
16.0279301781674,12/01/61
15.0222850236568,01/01/62
14.4599779831473,02/01/62
14.2752391487216,03/01/62
14.5571542990961,04/01/62
15.5911057060108,05/01/62
17.5748210508927,06/01/62
19.6728216632411,07/01/62
20.9381805409944,08/01/62
20.8849709495608,09/01/62
19.2697202630695,10/01/62
17.4398623522863,11/01/62
15.9294386446796,12/01/62
14.9559571780363,01/01/63
14.3806837578154,02/01/63
14.2490176185412,03/01/63
14.5069045528609,04/01/63
15.5805409033932,05/01/63
17.4216727681701,06/01/63
19.6232573896204,07/01/63
21.0247831334899,08/01/63
20.9258401616591,09/01/63
19.3430666037582,10/01/63
17.6113527544033,11/01/63
16.1543656239401,12/01/63
15.115543000165,01/01/64
14.5342245573115,02/01/64
14.3990711421912,03/01/64
14.82742621693,04/01/64
16.051116751915,05/01/64
17.8554868437256,06/01/64
19.8968053467202,07/01/64
21.283583076803,08/01/64
21.0689591121773,09/01/64
19.5007362083387,10/01/64
17.6821084183068,11/01/64
16.0954812796249,12/01/64
15.0336039122306,01/01/65
14.4691815323081,02/01/65
14.34840663216,03/01/65
14.7019567544963,04/01/65
15.6751057272734,05/01/65
17.3180069296735,06/01/65
19.3714577693027,07/01/65
20.6669416486176,08/01/65
20.8569612874123,09/01/65
19.6525005500469,10/01/65
17.7087628843561,11/01/65
16.2299473498564,12/01/65
15.253645797775,01/01/66
14.6291458842208,02/01/66
14.4738209175725,03/01/66
14.7520451547514,04/01/66
15.7183383000456,05/01/66
17.4156308292832,06/01/66
19.6888766345336,07/01/66
21.0178722391197,08/01/66
21.0040829398428,09/01/66
19.488418516561,10/01/66
17.7093718139971,11/01/66
16.1507679940517,12/01/66
15.0684194011281,01/01/67
14.4941470969204,02/01/67
14.3156554907378,03/01/67
14.7460163217837,04/01/67
15.7690567756265,05/01/67
17.342048471915,06/01/67
19.4303838543186,07/01/67
20.9049489960464,08/01/67
20.8670656207174,09/01/67
19.4126254439308,10/01/67
17.622747965683,11/01/67
16.1881373750536,12/01/67
15.1448565360736,01/01/68
14.5735620288695,02/01/68
14.3917333693098,03/01/68
14.8890357113695,04/01/68
15.8853435041829,05/01/68
17.6230190049029,06/01/68
19.7430658658943,07/01/68
21.1037019127834,08/01/68
21.0618278401236,09/01/68
19.4287567379293,10/01/68
17.5922986201547,11/01/68
16.0666991391798,12/01/68
14.9831919389451,01/01/69
14.3233056030047,02/01/69
14.0987941584766,03/01/69
14.4094220650181,04/01/69
15.3518841337145,05/01/69
17.1742460093818,06/01/69
19.2903751917352,07/01/69
20.7737786790265,08/01/69
20.6343493200986,09/01/69
19.2968122906061,10/01/69
17.5264494159195,11/01/69
16.075412372775,12/01/69
14.9215624001586,01/01/70
14.3670263988007,02/01/70
14.2874628963894,03/01/70
14.5391791454395,04/01/70
15.5715011231556,05/01/70
17.4875264878899,06/01/70
19.5666115142785,07/01/70
20.8180675448331,08/01/70
20.6717024013019,09/01/70
19.1568439369843,10/01/70
17.405345105651,11/01/70
15.9453424022993,12/01/70
14.9513878378526,01/01/71
14.4572783840588,02/01/71
14.3412452935858,03/01/71
14.6505626082069,04/01/71
15.6048952255552,05/01/71
17.4601583549798,06/01/71
19.6078602473648,07/01/71
20.9715342242987,08/01/71
20.8387322754047,09/01/71
19.4923378472057,10/01/71
17.6678264906551,11/01/71
