"Year","Estimate","LCI","UCI","variable"
1950,0.23926170972469,0.195496627647535,0.280657108558262,"Fraction of Attributable Risk"
1951,0.224656911953772,0.182538028626237,0.264790454485512,"Fraction of Attributable Risk"
1952,0.223581657428301,0.177209075723943,0.266477275331632,"Fraction of Attributable Risk"
1953,0.211671144006239,0.165225205813146,0.254187109878899,"Fraction of Attributable Risk"
1954,0.288821522830895,0.238351276417201,0.335851881958801,"Fraction of Attributable Risk"
1955,0.257640951422699,0.209067880934443,0.303556576211151,"Fraction of Attributable Risk"
1956,0.133851996250362,0.102603359419763,0.165102924118002,"Fraction of Attributable Risk"
1957,0.262489230180493,0.207458092507847,0.314274499907209,"Fraction of Attributable Risk"
1958,0.403138098615843,0.330853458018513,0.465928397759924,"Fraction of Attributable Risk"
1959,0.220868372396164,0.159116205921724,0.278388588003316,"Fraction of Attributable Risk"
1960,0.139221146732742,0.0774556408931609,0.198434824627918,"Fraction of Attributable Risk"
1961,0.012212198683015,-0.0481798424240638,0.0672387045440941,"Fraction of Attributable Risk"
1962,0.0523177057181476,-0.0155987482659006,0.114847890105876,"Fraction of Attributable Risk"
1963,0.164268545457732,0.0794148503133444,0.241248807910827,"Fraction of Attributable Risk"
1964,-0.0656301434453158,-0.136954327319869,-0.00273221617998641,"Fraction of Attributable Risk"
1965,0.0102426863808706,-0.0306423283872078,0.049900512700407,"Fraction of Attributable Risk"
1966,-0.0640352348216872,-0.11919281278106,-0.0138759277245716,"Fraction of Attributable Risk"
1967,-0.105312809609264,-0.17326678886194,-0.0428483601732758,"Fraction of Attributable Risk"
1968,-0.0217307020063954,-0.0643565006170498,0.0186432924778145,"Fraction of Attributable Risk"
1969,-0.101510542100516,-0.162851644469266,-0.046167291123628,"Fraction of Attributable Risk"
1970,-0.114682696839761,-0.189945618443021,-0.0473568532565601,"Fraction of Attributable Risk"
1971,0.0280926844037438,-0.0180339236746197,0.0713811044877421,"Fraction of Attributable Risk"
1972,0.031795546216367,-0.0187359549007167,0.0796933507666331,"Fraction of Attributable Risk"
1973,0.0306332186583912,-0.0137729839591535,0.0725653479636792,"Fraction of Attributable Risk"
1974,0.0142644713965617,-0.0269344941030801,0.0533745648715892,"Fraction of Attributable Risk"
1975,0.0164252207679425,-0.0244595673435727,0.0555400321747026,"Fraction of Attributable Risk"
1976,-0.0728547305718941,-0.140219196238509,-0.0124085007530456,"Fraction of Attributable Risk"
1977,-0.0551715007083529,-0.127647287540491,0.00732183239111169,"Fraction of Attributable Risk"
1978,-0.0302513596350551,-0.090970697523705,0.025115311425307,"Fraction of Attributable Risk"
1979,0.0436364263570789,-0.0162256295159073,0.0980271745978406,"Fraction of Attributable Risk"
1980,0.11617959728517,0.0589223346228321,0.170151700682064,"Fraction of Attributable Risk"
1981,0.136175350209802,0.0844908915403548,0.185346853343535,"Fraction of Attributable Risk"
1982,0.187833244454551,0.138448506367523,0.234426419929126,"Fraction of Attributable Risk"
1983,0.310711208953877,0.257441038775149,0.361778567421751,"Fraction of Attributable Risk"
1984,0.392176012907063,0.335207788444418,0.445071722141674,"Fraction of Attributable Risk"
1985,0.258405240830241,0.221756716753183,0.29326806566677,"Fraction of Attributable Risk"
1986,0.342737472401063,0.30500626545334,0.378684421887296,"Fraction of Attributable Risk"
1987,0.517017491040516,0.466793067857455,0.562191510917103,"Fraction of Attributable Risk"
1988,0.341962904258736,0.310864699060128,0.370710017163791,"Fraction of Attributable Risk"
1989,0.240315789665595,0.211398764208512,0.269455934294555,"Fraction of Attributable Risk"
1990,0.240916436572896,0.214798199844755,0.267570419688986,"Fraction of Attributable Risk"
1991,0.297287219338037,0.269778115859834,0.325418851818501,"Fraction of Attributable Risk"
1992,0.385875117457647,0.360710198805856,0.410254268242395,"Fraction of Attributable Risk"
1993,0.477534502836679,0.450380151596532,0.503303207827523,"Fraction of Attributable Risk"
1994,0.40071780388009,0.375807887511116,0.425212429713214,"Fraction of Attributable Risk"
1995,0.288271896485851,0.261747891888539,0.316314615725585,"Fraction of Attributable Risk"
1996,0.312217854746664,0.285756005407381,0.3400135138402,"Fraction of Attributable Risk"
1997,0.551850979823124,0.528461597149326,0.574769521811475,"Fraction of Attributable Risk"
1998,0.693581732281924,0.668770932204991,0.716649614410066,"Fraction of Attributable Risk"
1999,0.479000329771564,0.454758968958104,0.503365183339453,"Fraction of Attributable Risk"
2000,0.465678351906658,0.440092811424422,0.491693553674421,"Fraction of Attributable Risk"
2001,0.460799447012953,0.434268199464974,0.487834658779052,"Fraction of Attributable Risk"
2002,0.696935644294532,0.677179185789508,0.715975867464558,"Fraction of Attributable Risk"
2003,0.787561928538652,0.767460355057053,0.805641109318938,"Fraction of Attributable Risk"
2004,0.602553491967276,0.578516343427293,0.626030708186068,"Fraction of Attributable Risk"
2005,0.586116145484235,0.560534518869325,0.610918498786121,"Fraction of Attributable Risk"
2006,0.439925959655436,0.409540223264934,0.471059192337119,"Fraction of Attributable Risk"
2007,0.322618951226136,0.292326533423943,0.353941556946558,"Fraction of Attributable Risk"
2008,0.3143614630976,0.284416139540241,0.34567825243845,"Fraction of Attributable Risk"
2009,0.497872978836311,0.466467137293952,0.528984767986842,"Fraction of Attributable Risk"
2010,0.71879202924642,0.696282273903625,0.739457949406424,"Fraction of Attributable Risk"
2011,0.5145720436244,0.482455912601132,0.546496469207762,"Fraction of Attributable Risk"
2012,0.466348597706028,0.432589853975267,0.499846548563162,"Fraction of Attributable Risk"
2013,0.735206456440648,0.711783822868915,0.756504823361628,"Fraction of Attributable Risk"
2014,0.924304303952711,0.917471235082176,0.930675055561419,"Fraction of Attributable Risk"
2015,0.968564052898849,0.960745114905522,0.975100144145838,"Fraction of Attributable Risk"
2016,0.956680378170394,0.950746276303269,0.962016878517637,"Fraction of Attributable Risk"
2017,0.917594136360055,0.909568803360172,0.92514353654511,"Fraction of Attributable Risk"
2018,0.95252137519508,0.9472751278825,0.957303327812606,"Fraction of Attributable Risk"
2019,0.971786802460566,0.966757046638823,0.976161656939364,"Fraction of Attributable Risk"
2020,0.899681291233765,0.888379173702186,0.910098327723453,"Fraction of Attributable Risk"
1950,1.31451251078489,1.24300286905682,1.39015761731621,"Risk ratio"
1951,1.28975161501714,1.22329849585477,1.36015644261013,"Risk ratio"
1952,1.28796545002755,1.21537558387614,1.36328428059555,"Risk ratio"
1953,1.26850614739886,1.19792788062568,1.34081887460758,"Risk ratio"
1954,1.40611679360794,1.31294121428576,1.50568822350855,"Risk ratio"
1955,1.3470570634472,1.26433100375472,1.43586681393259,"Risk ratio"
1956,1.15453709489707,1.11433445901182,1.19775242827816,"Risk ratio"
1957,1.35591240280428,1.26176293082634,1.45830948369965,"Risk ratio"
1958,1.67542943800055,1.49444095913398,1.87240811120768,"Risk ratio"
1959,1.28348017789424,1.1892249643081,1.385787396617,"Risk ratio"
1960,1.1617385768764,1.08395871713762,1.24755918885299,"Risk ratio"
1961,1.01236318029716,0.954034755798546,1.07208565028551,"Risk ratio"
1962,1.05520595460506,0.984640835475098,1.12974932649668,"Risk ratio"
1963,1.19655661464567,1.08626562175196,1.31795509572323,"Risk ratio"
1964,0.938411892860758,0.879542806576312,0.997275228484834,"Risk ratio"
1965,1.01034868471284,0.970268707636763,1.05252135525537,"Risk ratio"
1966,0.939818501562668,0.893501091661873,0.986313978520317,"Risk ratio"
1967,0.904721261986919,0.852321065842145,0.958912185309323,"Risk ratio"
1968,0.978731477909275,0.939534826367162,1.01899746782685,"Risk ratio"
1969,0.907844239141877,0.859954926113045,0.955870068281295,"Risk ratio"
1970,0.897116285051433,0.840374538551136,0.954784414586764,"Risk ratio"
1971,1.02890469487464,0.982285537588447,1.07686802932043,"Risk ratio"
1972,1.03283970249477,0.981608625070524,1.08659434421453,"Risk ratio"
1973,1.03160126718598,0.986414133955942,1.07824308462526,"Risk ratio"
1974,1.01447089100742,0.973771945282056,1.05638403838615,"Risk ratio"
1975,1.01669951397164,0.976124419036862,1.05880612632274,"Risk ratio"
1976,0.932092641719482,0.877024350492361,0.987743583006448,"Risk ratio"
1977,0.947713238396493,0.886802115385829,1.00737583703362,"Risk ratio"
1978,0.970636913650111,0.916614902920682,1.02576234063336,"Risk ratio"
1979,1.04562744500071,0.984033438003688,1.10868085139276,"Risk ratio"
1980,1.13145159008358,1.06261155353126,1.20503952447925,"Risk ratio"
1981,1.15764235281185,1.09228842264881,1.22751627990912,"Risk ratio"
1982,1.23127423422842,1.16069672839147,1.30621017500032,"Risk ratio"
1983,1.45077072627616,1.34669440706836,1.56685430628718,"Risk ratio"
1984,1.64521312293504,1.50422941577497,1.80203467709264,"Risk ratio"
1985,1.34844534381491,1.28494523695472,1.41496365371328,"Risk ratio"
1986,1.52146206121491,1.43886189226194,1.60948805281461,"Risk ratio"
1987,2.07046835330405,1.87544448453019,2.28410372328494,"Risk ratio"
1988,1.51967116515448,1.45109385433623,1.58909251263305,"Risk ratio"
1989,1.31633642821115,1.26806801031238,1.36884282132161,"Risk ratio"
1990,1.3173780176259,1.27355795644163,1.36531896974364,"Risk ratio"
1991,1.4230565140113,1.36944676915222,1.48240134296037,"Risk ratio"
1992,1.62833330553258,1.56423581000679,1.69564601513897,"Risk ratio"
1993,1.91400198755594,1.81943938688676,2.01330070127119,"Risk ratio"
1994,1.66866295457226,1.60207086887502,1.73977318177054,"Risk ratio"
1995,1.40503093114142,1.35455082215494,1.46266107628041,"Risk ratio"
1996,1.45394876401111,1.40008177537477,1.51518253929501,"Risk ratio"
1997,2.23140061670852,2.120718045348,2.35166586426256,"Risk ratio"
1998,3.26351299955805,3.01905870356427,3.52919936183607,"Risk ratio"
1999,1.91938701143811,1.83405126002552,2.01355194290276,"Risk ratio"
2000,1.87153188265602,1.78601028956966,1.96731717102695,"Risk ratio"
2001,1.85459750450965,1.76762204114083,1.95249447691268,"Risk ratio"
