"prediction_model","RMSE","D","Independence weight","Skill weight","Combined weight","normalized_weight"
"NorESM2-MM",0.133951748869683,0.770462803636013,0.387012519522736,0.413611941233189,0.160072999481346,3.67904234650134
"HadGEM3-GC31-LL",0.140549091549242,0.808409356632388,0.248856100475279,0.378352138228844,0.0941552377261138,2.16401959019728
"CanESM5-CanOE",0.145696437341956,0.838015826903983,0.19394980191396,0.351894541949914,0.0682498767057896,1.56862298674771
"UKESM1-0-LL",0.152002800165693,0.874288723845772,0.15709091212279,0.320845774577419,0.0504019553791096,1.1584147781764
"GISS-E2-1-G",0.154212160596445,0.886996508895862,0.149339562172951,0.310341644531968,0.0463462853184377,1.06520116972903
"ACCESS-CM2",0.154267721042562,0.887316081110841,0.149168838660511,0.310080050159822,0.0462542809741337,1.06308658525912
"ACCESS-ESM1-5",0.157569807001489,0.906308997793378,0.140557557829573,0.29476161339721,0.0414309725210165,0.952229937937257
"HadGEM3-GC31-MM",0.162059757065256,0.932134263558897,0.131602875296586,0.274666259354933,0.036146869478067,0.830782605024917
"INM-CM4-8",0.16761297306807,0.964075215482465,0.123980448291429,0.251007119559866,0.0311199752073725,0.715246837261503
"CanESM5",0.169378069406101,0.974227685194601,0.123333116234034,0.243767560458657,0.0300646128681345,0.690990886854253
"MIROC6",0.172994265725407,0.995027299818381,0.126859012897891,0.229361510757621,0.0290965748514808,0.668741957504321
"CESM2",0.173858813478769,1,0.128918329326323,0.226002324570819,0.0291358421075354,0.669644457603175
"MIROC-ES2L",0.174405075093412,1.0031419840255,0.130499578976272,0.223896753340732,0.0292184320451197,0.671542665787891
"EC-Earth3-CC",0.176056824035786,1.01264250291968,0.136698744578423,0.217609781668128,0.0297469839620177,0.683690653836423
"CESM2-WACCM",0.176954473264021,1.01780559595059,0.14101619291574,0.214243337575777,0.0302117798224976,0.694373302744889
"NorESM2-LM",0.191299593721501,1.10031576710871,0.26630521425323,0.165206778362071,0.043995426507797,1.01117013924284
"BCC-CSM2-MR",0.197175495228027,1.13411273942753,0.32132390462967,0.147656462421988,0.0474455510492372,1.09046617498772
"CNRM-CM6-1",0.19743126074807,1.13558384989312,0.324844659012852,0.146925053943025,0.0477278190485668,1.09695368959643
"CMCC-CM2-SR5",0.229675418931623,1.32104559059164,0.56222916918464,0.0746144154925862,0.0419504008315943,0.964168233319859
"INM-CM5-0",0.236254565942998,1.35888748586133,0.561837903781701,0.0641683557390653,0.0360522144775549,0.828607099122483
"CMCC-ESM2",0.267760662082086,1.5401040460614,0.373631641241216,0.0293769821283026,0.0109761700473116,0.252271117160921
"CIESM",0.267903229717031,1.54092406566289,0.37236395313062,0.0292668069641043,0.0108979039366646,0.250472285775872
"CAMS-CSM1-0",0.275932965016638,1.58710944527603,0.424363796922675,0.023608283534823,0.0100185008396646,0.230260499628361
