"region","model","experiment","year","annual.unsmoothed","annual.two.yr.running.mean","annual.three.yr.running.mean","winter.unsmoothed","winter.two.yr.running.mean","winter.three.yr.running.mean"
"North_Pacific","ACCESS-CM2","piControl",1850,0.752943372515583,0.780892910458706,NA,NA,NA,NA
"North_Pacific","ACCESS-CM2","piControl",1851,0.80884244840183,0.807313043369441,0.789189819751488,0.902857012815563,1.19180632667911,NA
"North_Pacific","ACCESS-CM2","piControl",1852,0.805783638337053,1.41762866432947,1.21469992568692,1.48075564054266,1.43138889713522,1.255211602362
"North_Pacific","ACCESS-CM2","piControl",1853,2.02947369032189,1.86035375123582,1.50883038026956,1.38202215372778,1.88714411860314,1.75168129258298
"North_Pacific","ACCESS-CM2","piControl",1854,1.69123381214975,1.36878564560238,1.58901499384222,2.3922660834785,1.89747218723216,1.72565550939736
"North_Pacific","ACCESS-CM2","piControl",1855,1.04633747905501,0.510317738461171,0.903956429690697,1.40267829098581,1.05158744076949,1.4984803216725
"North_Pacific","ACCESS-CM2","piControl",1856,-0.0257020021326639,-0.278671143295478,0.162998397488017,0.700496590553174,0.235064417987284,0.624269042320128
"North_Pacific","ACCESS-CM2","piControl",1857,-0.531640284458292,-0.48627449925663,-0.332750333548641,-0.230367754578606,-0.498534693603689,-0.0988575988847342
"North_Pacific","ACCESS-CM2","piControl",1858,-0.440908714054968,-0.399593520615927,-0.443609108563382,-0.766701632628771,-0.431278253754429,-0.364308087362488
"North_Pacific","ACCESS-CM2","piControl",1859,-0.358278327176886,-0.126800636240279,-0.231503328845175,-0.0958548748800861,-0.177540551728112,-0.373927578694999
"North_Pacific","ACCESS-CM2","piControl",1860,0.104677054696328,-0.641905372384076,-0.54736302398168,-0.259226228576138,-0.413926629472319,-0.307902711274908
"North_Pacific","ACCESS-CM2","piControl",1861,-1.38848779946448,-0.558123307694284,-0.33718985356408,-0.568627030368501,-0.292879777848317,-0.281661928090924
"North_Pacific","ACCESS-CM2","piControl",1862,0.272241184075913,0.301751480629875,-0.26166161273491,-0.0171325253281338,-0.163354579167659,-0.298445396234606
"North_Pacific","ACCESS-CM2","piControl",1863,0.331261777183838,0.959001708354519,0.730081533594983,-0.309576633007185,0.29132052634186,0.188502842451862
"North_Pacific","ACCESS-CM2","piControl",1864,1.5867416395252,1.0421729537729,0.805202561576544,0.892217685690904,0.775643302738255,0.413903324156441
"North_Pacific","ACCESS-CM2","piControl",1865,0.497604268020595,0.835853236683733,1.08614937096422,0.659068919785605,1.11718804531003,1.04219792543699
"North_Pacific","ACCESS-CM2","piControl",1866,1.17410220534687,0.914658766185694,0.775640600130661,1.57530717083445,1.21886301571824,1.0322649837407
"North_Pacific","ACCESS-CM2","piControl",1867,0.655215327024515,0.958451672036038,1.03033518313965,0.862418860602039,0.962818655586923,1.16698149400277
"North_Pacific","ACCESS-CM2","piControl",1868,1.26168801704756,0.415088369697266,0.495130688806349,1.06321845057181,0.512351244904745,0.629040450137177
"North_Pacific","ACCESS-CM2","piControl",1869,-0.43151127765303,-0.230043999133679,0.267200006260067,-0.0385159607623156,0.0758629691723455,0.404981462972166
"North_Pacific","ACCESS-CM2","piControl",1870,-0.0285767206143293,0.256339939921264,0.0270562007298327,0.190241899107007,0.0961530174275224,0.0512633580309097
"North_Pacific","ACCESS-CM2","piControl",1871,0.541256600456857,0.187904461352498,0.115744067363556,0.00206413574803826,0.135790826229976,0.153941183855653
"North_Pacific","ACCESS-CM2","piControl",1872,-0.165447677751861,-0.25976843679612,0.00723990895487236,0.269517516711914,-0.207812180675286,-0.137853408534178
"North_Pacific","ACCESS-CM2","piControl",1873,-0.354089195840379,-0.62206025262065,-0.46985606099772,-0.685141878062485,-0.683167272341138,-0.365605675990121
"North_Pacific","ACCESS-CM2","piControl",1874,-0.89003130940092,-0.488502760592036,-0.443698239008151,-0.681192666619791,-0.462017758819215,-0.536392465233638
"North_Pacific","ACCESS-CM2","piControl",1875,-0.0869742117831525,0.015107318174885,-0.286605557683717,-0.242842851018639,-0.0902417090733891,-0.287225361588856
"North_Pacific","ACCESS-CM2","piControl",1876,0.117188848132923,0.323037448062692,0.186366894780744,0.0623594328718609,0.1007802716638,-0.0137607692303466
"North_Pacific","ACCESS-CM2","piControl",1877,0.528886047992461,0.242097846782832,0.200461513899529,0.139201110455738,0.152328100870757,0.122338544871125
