"year","ACCESS-CM2","ACCESS-ESM1-5","BCC-CSM2-MR","CAMS-CSM1-0","CanESM5-CanOE","CanESM5","CESM2-WACCM","CESM2","CIESM","CMCC-CM2-SR5","CMCC-ESM2","CNRM-CM6-1","EC-Earth3-CC","GISS-E2-1-G","HadGEM3-GC31-LL","HadGEM3-GC31-MM","INM-CM4-8","INM-CM5-0","MIROC-ES2L","MIROC6","NorESM2-LM","NorESM2-MM","UKESM1-0-LL"
1850,0.226858005165798,0.109360762363774,0.0620035680779475,-0.00633296491243567,0.0261575085864178,-0.0808200689418659,0.0673039465068844,-0.0164331707599035,-0.11983592096685,-0.145409510836949,-0.059446058234555,0.445383978229247,0.287575598676959,0.0306734311038331,0.160114617580277,0.323480982361578,-0.134388105289607,-0.0799491115017265,0.0196069603967094,-0.00672582464376623,0.0145486522095574,0.167389065956294,0.233533974831894
1851,0.218244631519815,0.104730481249402,0.05785409487217,-0.00948799411520517,0.0222646804428771,-0.0807815892796544,0.0639106748141915,-0.0161788079664207,-0.119595844614839,-0.145455537317515,-0.0621182107278781,0.429057425461124,0.271434155175149,0.0285816463296778,0.154169512039801,0.311989024909329,-0.13270613429738,-0.0802583046574458,0.0177869237426066,-0.00735833855344895,0.0147086631617001,0.161901297921573,0.227642013695366
1852,0.209742664528915,0.100170728646131,0.053790377425722,-0.0125565423610715,0.0184648570314862,-0.0806909598956724,0.0605733493598704,-0.0159239621934532,-0.119294009977577,-0.145411395306862,-0.0646781005789502,0.412958447923802,0.255584745957444,0.0265349974242279,0.148303474781804,0.300643063711457,-0.131000073709489,-0.0805146157939046,0.0160094231681431,-0.00797019658816695,0.0148555269837336,0.156473164459581,0.221798320598111
1853,0.201352501782554,0.09568075134976,0.0498124301562012,-0.0155370215388375,0.0147570696592299,-0.0805499857234157,0.0572911233060123,-0.0156702983406666,-0.118929915719258,-0.145278026852462,-0.067125660300979,0.397086506769401,0.240030338668192,0.0245327402193917,0.142516016039317,0.289443351571493,-0.129269426726098,-0.0807179838591409,0.0142740115084638,-0.00856174261191239,0.0149877714807626,0.151104168241458,0.216000629196793
1854,0.193074540870189,0.0912597961560886,0.0459202674812052,-0.0184278435373062,0.0111403496330929,-0.0803604716963802,0.0540631498147082,-0.0154194813077262,-0.11850306050408,-0.145056374001787,-0.0694608224071723,0.381441063150039,0.224773900951738,0.0225741305470779,0.136806646045371,0.278390141292966,-0.127513696547373,-0.0808683478011926,0.0125802415987136,-0.00913332048867743,0.015103924457892,0.145793811938341,0.210246673148082
1855,0.184909179381275,0.0869071098609162,0.0421139038183317,-0.0212274202452804,0.00761372826006014,-0.0801242227480616,0.0508885820480491,-0.0151731759942975,-0.118012942996236,-0.144747378802311,-0.071683519410738,0.366021578217835,0.209818400452431,0.0206584242391947,0.131174875032996,0.267483685679409,-0.125732386373475,-0.0809656465680978,0.0109276662740374,-0.00968527408245426,0.0152025137202267,0.14054159822137,0.204534186108644
1856,0.176856814905268,0.0826219392600418,0.0383933535851785,-0.0239341635515631,0.00417623684711628,-0.079843043811956,0.0477665731681263,-0.0149330473000457,-0.117459061859923,-0.144351983301506,-0.0737936838248839,0.350827513124908,0.195166804814615,0.0187848771276507,0.125620213235222,0.25672423753435,-0.123924999404571,-0.0810098191078945,0.00931583836958009,-0.010217947257235,0.0152820670728716,0.135347029761682,0.198860901735145
1857,0.168917845031624,0.0784035311492648,0.0347586311993433,-0.0265464853449571,0.00082690670124614,-0.0795187398215592,0.0446962763370307,-0.0147007601246363,-0.116840915759337,-0.143871129546845,-0.0757912481628177,0.335858329023378,0.180822081682639,0.0169527450443544,0.12014217088508,0.24611204966132,-0.122091038840824,-0.0810008043686206,0.00774431072048653,-0.0107316838770119,0.0153411123209314,0.130209609230418,0.193224553684254
1858,0.1610926673498,0.0742511323243846,0.0312097510784237,-0.0290627975142654,-0.00243523087056549,-0.079153115710367,0.0416768447168534,-0.0144779793677347,-0.116158003358673,-0.1433057595858,-0.0776761449377472,0.321113487065363,0.166787198700848,0.0151612838212141,0.1147402582156,0.23564737486385,-0.120230007882398,-0.0809385412983141,0.00621263616190162,-0.0112268278057771,0.015378177269511,0.125128839298714,0.187622875612637
1859,0.153381679449252,0.0701639895812002,0.0277467276400175,-0.0314815119482908,-0.00561114456133383,-0.0787479764118753,0.0387074314696855,-0.0142663699290062,-0.115409823322127,-0.142656815465845,-0.0794483066628803,0.306592448402981,0.15306512351359,0.0134097492901384,0.109413985459812,0.22533046594547,-0.118341409729458,-0.080822968845013,0.00472036752897026,-0.0117037229075227,0.0153917897237154,0.12010422263771,0.182053601176961
1860,0.145785278919435,0.0661413497155111,0.0243695753017223,-0.0338010405358364,-0.00870180306407408,-0.0783051268595799,0.0357871897576181,-0.0140675967081162,-0.114595874313895,-0.141925239234451,-0.0811076658514248,0.292294674188353,0.13965882376521,0.0116973972830358,0.104162862850747,0.21516157570971,-0.116424747582167,-0.0806540259567552,0.00326705765683733,-0.012162713046241,0.0153804774886492,0.115135261918545,0.176514464033893
1861,0.138303863349805,0.0621824595231164,0.0210783084811359,-0.0360197951657049,-0.0117081750718015,-0.0778263719869769,0.0329152727427422,-0.0138833246047302,-0.113715654998171,-0.141111972939092,-0.0826541550165885,0.278219625573596,0.126571267100056,0.0100234836318145,0.0989864006214352,0.205140956960101,-0.114479524640691,-0.0804316515815789,0.00185225938064773,-0.012604142085924,0.0153427683694175,0.110221459812356,0.171003197840102
1862,0.130937830329819,0.0582865657998156,0.017872941595856,-0.0381361877266993,-0.0146312292775312,-0.0773135167275619,0.0300908335871488,-0.0137152185185134,-0.112768664039152,-0.14021795862724,-0.0840877066715791,0.26436676371083,0.113805421162474,0.00838726416838327,0.0938841090049072,0.195268862500173,-0.112505244105192,-0.0801557846675218,0.000475525535546338,-0.013028353890564,0.0152771901711251,0.105362318990283,0.165517536252253
1863,0.123687577448932,0.0544529153414078,0.0147534890634802,-0.0401486301076225,-0.0174719343742785,-0.0767683660148308,0.0273130254529292,-0.0135649433491314,-0.111754400101033,-0.139244138346367,-0.0854082533296044,0.250735549752174,0.101364253596811,0.00678799472465039,0.0888554982341931,0.185545545133457,-0.110501409175835,-0.079826364162622,-0.000863591043321951,-0.0134356923241532,0.0151822706988767,0.100557342123465,0.160055212927014
1864,0.116553502296601,0.0506807549436924,0.0117199653016063,-0.0420555341972775,-0.0202312590550585,-0.0761927247822797,0.0245810015021743,-0.0134341639962494,-0.11067236184801,-0.138191454143947,-0.0866157275038724,0.237325444849746,0.0892507320474135,0.00522493113252436,0.0839000785423235,0.175971257663483,-0.108467523052785,-0.0794433290149176,-0.00216553752081225,-0.0138265012506836,0.0150565377577773,0.0958060318830386,0.154613961521052
1865,0.109536002462282,0.0469693314024685,0.00877238472783189,-0.043855311884467,-0.0229101720128866,-0.0755883979634043,0.0218939148969751,-0.0133245453595329,-0.109522047944279,-0.137060848067453,-0.0877100617075907,0.224135910155667,0.0774678241586281,0.00369732922391365,0.0790173601623286,0.166546252893782,-0.106403088936206,-0.0790066181724464,-0.00343076106177967,-0.0142011245341475,0.0148985191529317,0.0911078909401439,0.149191515691034
1866,0.10263547553543,0.0433178915135356,0.00591076175975479,-0.0455463750579941,-0.0255096419407778,-0.0749571904917004,0.0192509187994229,-0.0132377523386473,-0.108302957054035,-0.135853262164356,-0.0886911884539673,0.211166406822053,0.0660184975748016,0.00220444483072672,0.0742068533272389,0.157270783627883,-0.104307610026261,-0.0785161705832465,-0.00465970883107932,-0.0145599060385371,0.0147067426894448,0.0864624219659192,0.143785609093627
1867,0.0958523191055023,0.0397256820726928,0.00313511081497265,-0.0471271356066617,-0.0280306375317475,-0.074300907300664,0.0166511663716087,-0.0131754498332578,-0.107014587841474,-0.13456963848213,-0.0895590402562098,0.198416396001025,0.0549057199402804,0.000745533784872013,0.0694680682700847,0.148145102669318,-0.102180589523115,-0.0779719251953558,-0.00585282799356632,-0.0149031896278444,0.0144797361724213,0.0818691276315031,0.138393975385498
1868,0.0891869307619539,0.0361919498757394,0.000445446311083163,-0.0485960054192725,-0.0304741274788108,-0.073621353323791,0.0140938107756234,-0.01313930274303,-0.105656438970791,-0.133210919068247,-0.0903135496275261,0.185885338844702,0.0441324588994114,-0.000680148081741999,0.0648005152238965,0.139169462821616,-0.100021530626932,-0.0773738209568124,-0.00701056571409577,-0.0152313191660618,0.0142160274069663,0.077327510608034,0.133014348223315
1869,0.0826397080942413,0.0327159417184748,-0.00215821733431597,-0.0499513963846297,-0.032841080474983,-0.072920333494577,0.0115780051735582,-0.0131309759676292,-0.104228009106182,-0.131778045970179,-0.090954649081124,0.173572696505202,0.0337016820965411,-0.00207334493720686,0.0602037044217046,0.130344116888308,-0.0978299365378771,-0.0767217968156541,-0.00813336915752279,-0.0155446385171812,0.0139141441981845,0.0728370735666507,0.127644461263745
1870,0.0762110486918204,0.0292969043966981,-0.00467586570362701,-0.051191720391536,-0.0351324652132791,-0.0721996527465182,0.00910290272750426,-0.0131521344067207,-0.102728796911843,-0.130271961235401,-0.0914822711302113,0.161477930134644,0.0236163571760162,-0.0034348009496141,0.0556771460965394,0.121669317672925,-0.0956053104561132,-0.0760157917199191,-0.00922168548870249,-0.015843491545195,0.0135726143511807,0.0683973191784917,0.122282048163454
1871,0.0699013501441473,0.0259340847062087,-0.0071074843792523,-0.0523153893287944,-0.0373492503867146,-0.0714611160131103,0.00666765659955253,-0.01320444295997,-0.101158301051969,-0.128693606911383,-0.0918963482879958,0.149600500885147,0.0138794517821833,-0.00476526028705527,0.0512203504814314,0.113145317978996,-0.093347155581805,-0.0752557446176452,-0.01027596187249,-0.0161282221140953,0.0131899656710599,0.0640077501146956,0.11692484257911
1872,0.063711010040678,0.0226267294428059,-0.00945305894359414,-0.0533208150852078,-0.0394924046883046,-0.0707065282278492,0.00427141995179408,-0.0132895665270425,-0.0995160201907564,-0.127043925045599,-0.0921968130676853,0.137939869908831,0.00449393355938905,-0.00606546711762191,0.0468328278094108,0.104772370610053,-0.0910549751151167,-0.0744415944568704,-0.0112966454737403,-0.0163991740878743,0.0127647259629269,0.059667869046401,0.11157057816738
1873,0.0576404259708685,0.0193740854022889,-0.0117125749790548,-0.054206409549579,-0.0415628968110643,-0.0699376943242307,0.00191334594632003,-0.0134091700076035,-0.0978014529924001,-0.125323857685522,-0.0923835979824876,0.126495498357813,-0.00453722984801982,-0.00733616560940554,0.0425140883135082,0.0965507283696253,-0.0887282722562125,-0.0735732801856328,-0.0122841834573087,-0.016656691330524,0.0122954230318865,0.0553771786447466,0.106216988584931
1874,0.051689995524175,0.016175399380457,-0.0138860180680366,-0.0549705846107111,-0.0435616954480089,-0.0691564192357508,-0.000407412254778564,-0.0135649183013185,-0.096014098121096,-0.123534346878624,-0.0924566355456105,0.115266847384214,-0.0132110707956967,-0.00857809993049773,0.0382636422267538,0.0884806440612438,-0.0863665502052564,-0.0726507407519703,-0.0132390229880502,-0.0169011177060368,0.0117805846830436,0.0511351815808708,0.10086180748843
1875,0.0458601162900533,0.0130299181731094,-0.0159733737929418,-0.0556117521574068,-0.0454897692921536,-0.0683645078959053,-0.00269170148941064,-0.0137584763078527,-0.0941534542410397,-0.121676334672378,-0.0924158582702618,0.104253378140151,-0.021524621639295,-0.00979201424899001,0.034080999782178,0.0805623704884387,-0.0839693121624128,-0.0716739151039209,-0.01416161123082,-0.0171327970784047,0.0112187387215031,0.0469413805259124,0.095502768534545
1876,0.0401511858579596,0.00993688857604558,-0.0179746277361728,-0.0561283240784692,-0.0473480870365136,-0.06756376523819,-0.00494036859548511,-0.0139915089268717,-0.0922190200164268,-0.119750763114257,-0.0922611986696494,0.0934545517777447,-0.029474914734468,-0.0109786527329739,0.0299656712128114,0.0727961604547405,-0.0815360613278458,-0.0706427421895226,-0.0150523953504731,-0.0173520733116199,0.0106084129523698,0.0427952781510099,0.090137605379942
