"year","ACCESS-CM2_245","ACCESS-ESM1-5_245","BCC-CSM2-MR_245","CAMS-CSM1-0_245","CanESM5-CanOE_245","CanESM5_245","CESM2-WACCM_245","CESM2_245","CIESM_245","CMCC-CM2-SR5_245","CMCC-ESM2_245","GISS-E2-1-G_245","HadGEM3-GC31-LL_245","INM-CM4-8_245","INM-CM5-0_245","MIROC-ES2L_245","MIROC6_245","NorESM2-LM_245","NorESM2-MM_245","UKESM1-0-LL_245"
1850,0.197898467525996,0.0822141557586641,0.0332362681386215,-0.0168292677475227,0.0133699866258289,-0.0891355905216888,0.0208423043688083,-0.0374712689761396,-0.112581405383318,-0.112835201465497,-0.0558693143736866,0.00735298352553805,0.138174542096054,-0.131782394356853,-0.108325726128056,0.00652114920593381,-0.0354667848488967,-0.000633390723077367,0.13169437499472,0.177607268473958
1851,0.190119139991953,0.0781996119254739,0.0299467815703216,-0.0195253360248369,0.0096540409910553,-0.0893349738888483,0.0188346492793867,-0.0370541736173695,-0.112891077554223,-0.113543980051238,-0.0582672217107371,0.00578309040888816,0.132718724799613,-0.130141033257281,-0.107559581393255,0.0048923252587406,-0.0352205695438002,-0.000401566332723517,0.127117944023203,0.172725117434816
1852,0.182444570708698,0.0742530609245337,0.0267346225928661,-0.0221434680270973,0.00603597489232192,-0.0894726630190074,0.0168715097741623,-0.0366291875531566,-0.11312657347794,-0.114163659339892,-0.0605636830799881,0.00425608106918199,0.127341020958946,-0.128474720986387,-0.106755281240275,0.00330894977500314,-0.0349609102437976,-0.000176583124171591,0.122595623972103,0.167890562556167
1853,0.17487516896589,0.0703737028045566,0.0235997969258104,-0.024682167779147,0.00251490763818855,-0.0895501499593742,0.0149520591013034,-0.0361975909458202,-0.113287504934488,-0.114694963580385,-0.0627586309504987,0.00277132144462723,0.122040876392631,-0.126783034457675,-0.105912840407969,0.00177061428186811,-0.0346883084676851,4.03056911317701e-05,0.118127032172008,0.163101720982127
1854,0.167411344053188,0.0665607376142552,0.0205423102887096,-0.0271399393058289,-0.000910041462784972,-0.0895689267571571,0.0130754705089781,-0.0357606639576795,-0.113373483703886,-0.115138617021641,-0.0648519977913279,0.00132817747343156,0.116817736919248,-0.125065550584647,-0.10503227363519,0.000276910306482179,-0.0344032657342591,0.000247846901739926,0.113711785953509,0.158356709856813
1855,0.160053505260253,0.0628133654023427,0.0175621684011191,-0.0295152866319861,-0.00423975310203883,-0.0895304854595642,0.0112409172453546,-0.0353196867510539,-0.113384121566156,-0.115495343912589,-0.0668437160715351,-7.3984906197355e-05,0.111671048357378,-0.123321846280806,-0.104113595660794,-0.00117257062400796,-0.0341062835623156,0.000444787296206236,0.109349502647194,0.15365364632434
1856,0.152802061876744,0.0591307862175318,0.0146593769825941,-0.0318067137824616,-0.00747510797101322,-0.0894363181138038,0.00944757255860128,-0.0348759394882626,-0.113319030301315,-0.115765868502153,-0.0687337182601793,-0.00143579975605183,0.1066002565256,-0.121551498459657,-0.103156821223633,-0.00257823698245564,-0.0337978634706511,0.000629873663084057,0.105039799583654,0.148990647528826
1857,0.14565742319232,0.0555122001085355,0.0118339417526898,-0.0340127247820984,-0.0106169867611483,-0.0892879167670841,0.00769460969688624,-0.0344307023316248,-0.113177821689385,-0.11595091503926,-0.0705219368263196,-0.0027579011379242,0.101604807242493,-0.119754084034702,-0.102161965062561,-0.00394049724171417,-0.0334785069780616,0.00080185279092675,0.100782294093476,0.144365830614385
1858,0.13861999849664,0.0519568071240666,0.00908586843096161,-0.0361318236557396,-0.0136662701638843,-0.0890867734666133,0.00598120190837775,-0.03398525544346,-0.112960107510385,-0.116051207772836,-0.0722083042390152,-0.00404092311360678,0.096684146326638,-0.117929179919444,-0.101129041916433,-0.00525975987463688,-0.0331487156033435,0.000959471468287673,0.0965766035072511,0.139777312725135
1859,0.131690197079365,0.0484638073128381,0.00641516273696469,-0.0381625144282281,-0.0166238388706614,-0.0888343802595996,0.00430652244124401,-0.0335408789860873,-0.112665499544334,-0.116067470951807,-0.0737927529673253,-0.00528549974489189,0.0918377195966134,-0.116076363027387,-0.1000580665241,-0.00653643335407709,-0.032808990865293,0.00110147648372019,0.0924223451555682,0.135223211005192
