"","model","level","year"
"1","ACCESS-CM2","0.5",2008
"2","ACCESS-CM2","1",2022
"3","ACCESS-CM2","1.5",2034
"4","ACCESS-CM2","2",2044
"5","ACCESS-ESM1-5","0.5",2006
"6","ACCESS-ESM1-5","1",2021
"7","ACCESS-ESM1-5","1.5",2033
"8","ACCESS-ESM1-5","2",2045
"9","CAMS-CSM1-0","0.5",2012
"10","CAMS-CSM1-0","1",2040
"11","CAMS-CSM1-0","1.5",2059
"12","CAMS-CSM1-0","2",2074
"13","CanESM5-CanOE","0.5",1996
"14","CanESM5-CanOE","1",2010
"15","CanESM5-CanOE","1.5",2021
"16","CanESM5-CanOE","2",2030
"17","CanESM5","0.5",1993
"18","CanESM5","1",2009
"19","CanESM5","1.5",2020
"20","CanESM5","2",2029
"21","CESM2-WACCM","0.5",2006
"22","CESM2-WACCM","1",2022
"23","CESM2-WACCM","1.5",2034
"24","CESM2-WACCM","2",2045
"25","CMCC-ESM2","0.5",1985
"26","CMCC-ESM2","1",2013
"27","CMCC-ESM2","1.5",2027
"28","CMCC-ESM2","2",2039
"29","CNRM-CM6-1","0.5",1998
"30","CNRM-CM6-1","1",2018
"31","CNRM-CM6-1","1.5",2034
"32","CNRM-CM6-1","2",2046
"33","EC-Earth3-CC","0.5",1966
"34","EC-Earth3-CC","1",2005
"35","EC-Earth3-CC","1.5",2024
"36","EC-Earth3-CC","2",2038
"37","HadGEM3-GC31-MM","0.5",2008
"38","HadGEM3-GC31-MM","1",2022
"39","HadGEM3-GC31-MM","1.5",2033
"40","HadGEM3-GC31-MM","2",2043
"41","INM-CM4-8","0.5",2003
"42","INM-CM4-8","1",2023
"43","INM-CM4-8","1.5",2039
"44","INM-CM4-8","2",2053
"45","INM-CM5-0","0.5",2001
"46","INM-CM5-0","1",2022
"47","INM-CM5-0","1.5",2039
"48","INM-CM5-0","2",2054
"49","MIROC-ES2L","0.5",2006
"50","MIROC-ES2L","1",2023
"51","MIROC-ES2L","1.5",2037
"52","MIROC-ES2L","2",2049
"53","NorESM2-LM","0.5",2013
"54","NorESM2-LM","1",2027
"55","NorESM2-LM","1.5",2039
"56","NorESM2-LM","2",2050
"57","NorESM2-MM","0.5",2013
"58","NorESM2-MM","1",2028
"59","NorESM2-MM","1.5",2041
"60","NorESM2-MM","2",2052
"61","UKESM1-0-LL","0.5",2009
"62","UKESM1-0-LL","1",2020
"63","UKESM1-0-LL","1.5",2029
"64","UKESM1-0-LL","2",2037
