"","model","level","year"
"1","ACCESS-CM2","0.5",2008
"2","ACCESS-CM2","1",2023
"3","ACCESS-CM2","1.5",2035
"4","ACCESS-CM2","2",2046
"5","ACCESS-ESM1-5","0.5",2005
"6","ACCESS-ESM1-5","1",2021
"7","ACCESS-ESM1-5","1.5",2034
"8","ACCESS-ESM1-5","2",2046
"9","BCC-CSM2-MR","0.5",2003
"10","BCC-CSM2-MR","1",2024
"11","BCC-CSM2-MR","1.5",2041
"12","BCC-CSM2-MR","2",2055
"13","CAMS-CSM1-0","0.5",2014
"14","CAMS-CSM1-0","1",2041
"15","CAMS-CSM1-0","1.5",2061
"16","CAMS-CSM1-0","2",2076
"17","CanESM5-CanOE","0.5",1994
"18","CanESM5-CanOE","1",2010
"19","CanESM5-CanOE","1.5",2021
"20","CanESM5-CanOE","2",2031
"21","CanESM5","0.5",1991
"22","CanESM5","1",2009
"23","CanESM5","1.5",2021
"24","CanESM5","2",2031
"25","CESM2-WACCM","0.5",2005
"26","CESM2-WACCM","1",2021
"27","CESM2-WACCM","1.5",2034
"28","CESM2-WACCM","2",2046
"29","CESM2","0.5",2008
"30","CESM2","1",2024
"31","CESM2","1.5",2037
"32","CESM2","2",2049
"33","CIESM","0.5",1994
"34","CIESM","1",2021
"35","CIESM","1.5",2036
"36","CIESM","2",2048
"37","CMCC-CM2-SR5","0.5",1982
"38","CMCC-CM2-SR5","1",2007
"39","CMCC-CM2-SR5","1.5",2022
"40","CMCC-CM2-SR5","2",2035
"41","CMCC-ESM2","0.5",1990
"42","CMCC-ESM2","1",2015
"43","CMCC-ESM2","1.5",2030
"44","CMCC-ESM2","2",2042
"45","CNRM-CM6-1","0.5",2000
"46","CNRM-CM6-1","1",2021
"47","CNRM-CM6-1","1.5",2036
"48","CNRM-CM6-1","2",2048
"49","EC-Earth3-CC","0.5",1970
"50","EC-Earth3-CC","1",2008
"51","EC-Earth3-CC","1.5",2027
"52","EC-Earth3-CC","2",2041
"53","GISS-E2-1-G","0.5",2007
"54","GISS-E2-1-G","1",2026
"55","GISS-E2-1-G","1.5",2042
"56","GISS-E2-1-G","2",2057
"57","HadGEM3-GC31-LL","0.5",2006
"58","HadGEM3-GC31-LL","1",2020
"59","HadGEM3-GC31-LL","1.5",2031
"60","HadGEM3-GC31-LL","2",2041
"61","HadGEM3-GC31-MM","0.5",2008
"62","HadGEM3-GC31-MM","1",2023
"63","HadGEM3-GC31-MM","1.5",2034
"64","HadGEM3-GC31-MM","2",2045
"65","INM-CM4-8","0.5",2003
"66","INM-CM4-8","1",2024
"67","INM-CM4-8","1.5",2041
"68","INM-CM4-8","2",2056
"69","INM-CM5-0","0.5",2002
"70","INM-CM5-0","1",2025
"71","INM-CM5-0","1.5",2042
"72","INM-CM5-0","2",2058
"73","MIROC-ES2L","0.5",2005
"74","MIROC-ES2L","1",2024
"75","MIROC-ES2L","1.5",2038
"76","MIROC-ES2L","2",2051
"77","MIROC6","0.5",2013
"78","MIROC6","1",2032
"79","MIROC6","1.5",2047
"80","MIROC6","2",2060
"81","NorESM2-LM","0.5",2013
"82","NorESM2-LM","1",2028
"83","NorESM2-LM","1.5",2041
"84","NorESM2-LM","2",2052
"85","NorESM2-MM","0.5",2013
"86","NorESM2-MM","1",2029
"87","NorESM2-MM","1.5",2042
"88","NorESM2-MM","2",2053
"89","UKESM1-0-LL","0.5",2009
"90","UKESM1-0-LL","1",2020
"91","UKESM1-0-LL","1.5",2030
"92","UKESM1-0-LL","2",2039
