"","model","level","year"
"1","ACCESS-CM2_245","0.5",2008
"2","ACCESS-CM2_245","1",2025
"3","ACCESS-CM2_245","1.5",2041
"4","ACCESS-CM2_245","2",2057
"5","ACCESS-ESM1-5_245","0.5",2004
"6","ACCESS-ESM1-5_245","1",2023
"7","ACCESS-ESM1-5_245","1.5",2040
"8","ACCESS-ESM1-5_245","2",2058
"9","BCC-CSM2-MR_245","0.5",2001
"10","BCC-CSM2-MR_245","1",2028
"11","BCC-CSM2-MR_245","1.5",2054
"12","BCC-CSM2-MR_245","2",2080
"13","CAMS-CSM1-0_245","0.5",2014
"14","CAMS-CSM1-0_245","1",2052
"15","CAMS-CSM1-0_245","1.5",2083
"16","CAMS-CSM1-0_245","2",Inf
"17","CanESM5-CanOE_245","0.5",1991
"18","CanESM5-CanOE_245","1",2009
"19","CanESM5-CanOE_245","1.5",2024
"20","CanESM5-CanOE_245","2",2038
"21","CanESM5_245","0.5",1988
"22","CanESM5_245","1",2008
"23","CanESM5_245","1.5",2023
"24","CanESM5_245","2",2038
"25","CESM2-WACCM_245","0.5",2006
"26","CESM2-WACCM_245","1",2026
"27","CESM2-WACCM_245","1.5",2046
"28","CESM2-WACCM_245","2",2067
"29","CESM2_245","0.5",2009
"30","CESM2_245","1",2029
"31","CESM2_245","1.5",2049
"32","CESM2_245","2",2069
"33","CIESM_245","0.5",1985
"34","CIESM_245","1",2022
"35","CIESM_245","1.5",2049
"36","CIESM_245","2",2074
"37","CMCC-CM2-SR5_245","0.5",1982
"38","CMCC-CM2-SR5_245","1",2009
"39","CMCC-CM2-SR5_245","1.5",2026
"40","CMCC-CM2-SR5_245","2",2042
"41","CMCC-ESM2_245","0.5",1988
"42","CMCC-ESM2_245","1",2015
"43","CMCC-ESM2_245","1.5",2031
"44","CMCC-ESM2_245","2",2047
"45","GISS-E2-1-G_245","0.5",2005
"46","GISS-E2-1-G_245","1",2029
"47","GISS-E2-1-G_245","1.5",2053
"48","GISS-E2-1-G_245","2",2077
"49","HadGEM3-GC31-LL_245","0.5",2004
"50","HadGEM3-GC31-LL_245","1",2021
"51","HadGEM3-GC31-LL_245","1.5",2036
"52","HadGEM3-GC31-LL_245","2",2051
"53","INM-CM4-8_245","0.5",2002
"54","INM-CM4-8_245","1",2031
"55","INM-CM4-8_245","1.5",2061
"56","INM-CM4-8_245","2",2092
"57","INM-CM5-0_245","0.5",2000
"58","INM-CM5-0_245","1",2030
"59","INM-CM5-0_245","1.5",2059
"60","INM-CM5-0_245","2",2087
"61","MIROC-ES2L_245","0.5",2005
"62","MIROC-ES2L_245","1",2029
"63","MIROC-ES2L_245","1.5",2052
"64","MIROC-ES2L_245","2",2073
"65","MIROC6_245","0.5",2013
"66","MIROC6_245","1",2038
"67","MIROC6_245","1.5",2064
"68","MIROC6_245","2",2091
"69","NorESM2-LM_245","0.5",2014
"70","NorESM2-LM_245","1",2034
"71","NorESM2-LM_245","1.5",2053
"72","NorESM2-LM_245","2",2072
"73","NorESM2-MM_245","0.5",2013
"74","NorESM2-MM_245","1",2032
"75","NorESM2-MM_245","1.5",2053
"76","NorESM2-MM_245","2",2073
"77","UKESM1-0-LL_245","0.5",2008
"78","UKESM1-0-LL_245","1",2022
"79","UKESM1-0-LL_245","1.5",2036
"80","UKESM1-0-LL_245","2",2050
