"model","region","window","bias","correlation","ar"
"ACCESS-CM2","North_Pacific","annual",1.66409319446592,0.855666035128379,0.0787697654903341
"ACCESS-CM2","North_Pacific","winter",2.15675300362312,0.784972644701888,0.0555454131861626
"ACCESS-CM2","Eastern_Bering_Sea","annual",0.705430268062908,0.416607063120615,0.251051499263108
"ACCESS-CM2","Eastern_Bering_Sea","winter",0.152924128882836,0.467656178358857,0.254594016636463
"ACCESS-CM2","Gulf_of_Alaska","annual",0.138057054333827,0.208034300000072,0.0584301111250941
"ACCESS-CM2","Gulf_of_Alaska","winter",0.336259842968518,0.277939962204389,0.196078282786428
"ACCESS-CM2","British_Columbia_Coast","annual",0.106891365380946,0.542836474522291,0.316572582037352
"ACCESS-CM2","British_Columbia_Coast","winter",0.124468869241474,0.462845288257045,0.0304458233695546
"ACCESS-CM2","Northern_California_Current","annual",0.679799177722293,0.492864453218975,0.417944023116848
"ACCESS-CM2","Northern_California_Current","winter",0.0402072303589538,0.335607067113527,0.232471879999804
"ACCESS-CM2","Southern_California_Current","annual",0.828522754028224,-0.0598900849956817,0.156398961671605
"ACCESS-CM2","Southern_California_Current","winter",0.242301038166881,-0.283030433012637,0.154248601920417
"ACCESS-ESM1-5","North_Pacific","annual",3.17263188664865,0.912935239994438,0.225775647728474
"ACCESS-ESM1-5","North_Pacific","winter",3.57607623937458,0.839296044277175,0.231267891916137
"ACCESS-ESM1-5","Eastern_Bering_Sea","annual",0.359623950440366,0.61905558980459,0.126730373916369
"ACCESS-ESM1-5","Eastern_Bering_Sea","winter",0.338361180369959,0.438860488249126,0.151103288703083
"ACCESS-ESM1-5","Gulf_of_Alaska","annual",0.754020181780703,0.091886188780941,0.258402042985691
"ACCESS-ESM1-5","Gulf_of_Alaska","winter",0.510814736307927,-0.171509213228074,0.447754097140969
"ACCESS-ESM1-5","British_Columbia_Coast","annual",0.941018918907146,0.0137041210055958,0.0951912175587097
"ACCESS-ESM1-5","British_Columbia_Coast","winter",0.726235088933954,-0.199305918833726,0.272623385033397
"ACCESS-ESM1-5","Northern_California_Current","annual",1.04178632628268,-0.193924731704281,0.055841247601369
"ACCESS-ESM1-5","Northern_California_Current","winter",0.792660947443339,-0.341018874431212,0.073195957643444
"ACCESS-ESM1-5","Southern_California_Current","annual",1.09716435094804,-0.257463819819715,0.199552260958992
"ACCESS-ESM1-5","Southern_California_Current","winter",0.439876148703259,-0.27603506116257,0.00187817065109891
"BCC-CSM2-MR","North_Pacific","annual",2.31501304528979,0.807346468708124,0.209082287999034
"BCC-CSM2-MR","North_Pacific","winter",2.88737659195952,0.707300646796975,0.20601663010134
"BCC-CSM2-MR","Eastern_Bering_Sea","annual",2.38740601885389,0.139101756363787,0.0733166597390819
"BCC-CSM2-MR","Eastern_Bering_Sea","winter",1.05959846279686,0.0704500831092974,0.166007013419044
"BCC-CSM2-MR","Gulf_of_Alaska","annual",3.94374424400224,-0.708487106341151,0.161306311555718
"BCC-CSM2-MR","Gulf_of_Alaska","winter",3.43194873806691,-0.824156033381562,0.469780337557344
"BCC-CSM2-MR","British_Columbia_Coast","annual",2.49145957936197,-0.427283258326718,0.14212620190755
"BCC-CSM2-MR","British_Columbia_Coast","winter",2.53560846132029,-0.54947195120973,0.186352489929905
"BCC-CSM2-MR","Northern_California_Current","annual",1.04375123529746,-0.608151447412311,0.187517577757688
"BCC-CSM2-MR","Northern_California_Current","winter",1.66052663074982,-0.495411100665171,0.0583132654420005
"BCC-CSM2-MR","Southern_California_Current","annual",0.0970110266396755,-0.353489037764739,0.194258916320371
"BCC-CSM2-MR","Southern_California_Current","winter",1.13684282740634,-0.320837267186752,0.146922145755957
"CAMS-CSM1-0","North_Pacific","annual",2.10982942715659,0.408857015726241,0.0812139011272679
"CAMS-CSM1-0","North_Pacific","winter",2.54562965942472,0.323328454308412,0.101773603343983
"CAMS-CSM1-0","Eastern_Bering_Sea","annual",1.9572522051482,0.733468306920512,0.0312935172221422
"CAMS-CSM1-0","Eastern_Bering_Sea","winter",1.28380151101402,0.745188940589533,0.198460281429035
"CAMS-CSM1-0","Gulf_of_Alaska","annual",3.06001681557734,0.138864446368441,0.259962020184551
"CAMS-CSM1-0","Gulf_of_Alaska","winter",3.07983813203414,0.0714622876235031,0.494556047792567
"CAMS-CSM1-0","British_Columbia_Coast","annual",2.20833194736984,0.30979707844465,0.0177801323515791
"CAMS-CSM1-0","British_Columbia_Coast","winter",2.33294836139624,0.201581527101354,0.310136684943269
"CAMS-CSM1-0","Northern_California_Current","annual",1.35793917134831,0.207636706890662,0.0071768758723334
"CAMS-CSM1-0","Northern_California_Current","winter",1.77595132928,-0.00478054554112481,0.129446775508224
"CAMS-CSM1-0","Southern_California_Current","annual",0.420574740760172,-0.0155364852915837,0.218193024770013
"CAMS-CSM1-0","Southern_California_Current","winter",1.28665427790853,-0.129509756521257,0.118195176941196
"CanESM5-CanOE","North_Pacific","annual",2.59061758115175,0.837642801963998,0.285889664303941
"CanESM5-CanOE","North_Pacific","winter",3.13794913283528,0.868993849573681,0.278920624321973
"CanESM5-CanOE","Eastern_Bering_Sea","annual",0.906704763825096,0.734239866417212,0.0187932968206952
"CanESM5-CanOE","Eastern_Bering_Sea","winter",0.182149212694031,0.835387121290698,0.0953265796593195
"CanESM5-CanOE","Gulf_of_Alaska","annual",2.21628890615423,0.237545955471986,0.011440591261027
"CanESM5-CanOE","Gulf_of_Alaska","winter",1.86122127566937,0.0114838918147265,0.368427421100881
"CanESM5-CanOE","British_Columbia_Coast","annual",1.01048329688412,0.0339759706998679,0.183988314898005
"CanESM5-CanOE","British_Columbia_Coast","winter",0.960295021581496,-0.0300918248205742,0.0164345669069807
"CanESM5-CanOE","Northern_California_Current","annual",0.384556201298993,0.0321988531837556,0.038430028151928
"CanESM5-CanOE","Northern_California_Current","winter",0.769249310932592,-0.0291072013243009,0.0510931504356866
"CanESM5-CanOE","Southern_California_Current","annual",1.60822346364663,0.0914566783449133,0.195943787059809
"CanESM5-CanOE","Southern_California_Current","winter",0.548128706265071,0.0215395641109376,0.115732002136321
"CanESM5","North_Pacific","annual",2.74860644063716,0.866745590081398,0.280708506207486
"CanESM5","North_Pacific","winter",3.29685929961511,0.879276826403134,0.297635521940601
"CanESM5","Eastern_Bering_Sea","annual",0.519844791062748,0.623587180016861,0.0982832916611832
"CanESM5","Eastern_Bering_Sea","winter",0.193987387432015,0.539950591407393,0.269601310074485
"CanESM5","Gulf_of_Alaska","annual",2.00763073628167,-0.0271021820403969,0.223907616403064
"CanESM5","Gulf_of_Alaska","winter",1.64162601892619,-0.417703114940014,0.38566072119548
"CanESM5","British_Columbia_Coast","annual",0.808391683394918,0.126512597476946,0.0409656000916054
"CanESM5","British_Columbia_Coast","winter",0.799206899047447,-0.0262623437517823,0.105038647315589
"CanESM5","Northern_California_Current","annual",0.130196175326025,-0.0615225206739677,0.0212366017281394
"CanESM5","Northern_California_Current","winter",0.60542115740761,-0.203538396114153,0.0982439973961716
"CanESM5","Southern_California_Current","annual",1.63860848620375,-0.370654398493489,0.200137473355365
"CanESM5","Southern_California_Current","winter",0.549158114880653,-0.403786335820199,0.233983176819028
"CESM2-WACCM","North_Pacific","annual",3.08644163246786,0.891159200651908,0.191271612409286
"CESM2-WACCM","North_Pacific","winter",3.57213832161628,0.822035225966471,0.231144715717341
"CESM2-WACCM","Eastern_Bering_Sea","annual",0.288825465807556,0.5573401638347,0.111955513797602
"CESM2-WACCM","Eastern_Bering_Sea","winter",0.409379229063178,0.277983722105598,0.0899204619863249
"CESM2-WACCM","Gulf_of_Alaska","annual",0.100939214963366,0.0936398265340921,0.02009464421393
"CESM2-WACCM","Gulf_of_Alaska","winter",0.102689576111045,-0.130461507877718,0.337056925995618
"CESM2-WACCM","British_Columbia_Coast","annual",0.409133551066624,0.100581464783034,0.146165667928475
"CESM2-WACCM","British_Columbia_Coast","winter",0.380239430907279,0.177016670250657,0.159997374072152
"CESM2-WACCM","Northern_California_Current","annual",0.830211162766837,0.0785541625863511,0.0842957005838363
"CESM2-WACCM","Northern_California_Current","winter",0.527960418745304,0.0734016832538547,0.133007847636584
"CESM2-WACCM","Southern_California_Current","annual",1.67924423651161,0.0110030163149456,0.106383685617052
"CESM2-WACCM","Southern_California_Current","winter",0.963039513989825,0.064468659281939,0.168023695098658
"CESM2","North_Pacific","annual",3.20551386445077,0.9364386802995,0.134841054666859
"CESM2","North_Pacific","winter",3.67618273451567,0.881535202756137,0.223236057136795
"CESM2","Eastern_Bering_Sea","annual",0.157103405117061,0.703752078249547,0.00392233417071941
"CESM2","Eastern_Bering_Sea","winter",0.615125296373554,0.560142805568428,0.13544790553672
"CESM2","Gulf_of_Alaska","annual",0.121903018062259,0.557217309214741,0.116918644915975
"CESM2","Gulf_of_Alaska","winter",0.146829669981794,0.462503107277674,0.329500029444613
"CESM2","British_Columbia_Coast","annual",0.643170993659727,0.496684395419247,0.0123799622673984
"CESM2","British_Columbia_Coast","winter",0.516851366445319,0.342394911709622,0.198984964748479
"CESM2","Northern_California_Current","annual",1.06526327870153,0.309451589921259,0.0498947844341185
"CESM2","Northern_California_Current","winter",0.703842090363455,0.0712912093200795,0.20418823165345
"CESM2","Southern_California_Current","annual",1.90137866765613,0.114602794154593,0.250365677633856
"CESM2","Southern_California_Current","winter",1.17062595864796,-0.0770363399317604,0.303412345951354
"CIESM","North_Pacific","annual",3.60927235065807,0.886907548812861,0.182778803400402
"CIESM","North_Pacific","winter",3.93950342499235,0.879015096304594,0.236769874155264
"CIESM","Eastern_Bering_Sea","annual",2.16943815723441,0.504370939846856,0.144374873604422
"CIESM","Eastern_Bering_Sea","winter",1.81072751819321,0.415015607295312,0.00327328542459776
"CIESM","Gulf_of_Alaska","annual",1.40725752788133,0.249958578580205,0.0389368344253123
"CIESM","Gulf_of_Alaska","winter",0.710449792972588,0.280769074608013,0.112810856902949
"CIESM","British_Columbia_Coast","annual",1.68772149088353,-0.359989270403709,0.248788743869631
"CIESM","British_Columbia_Coast","winter",1.21673047034153,-0.574818453083729,0.0863603361558443
"CIESM","Northern_California_Current","annual",2.2266725181748,-0.223393781862542,0.31444069555167
"CIESM","Northern_California_Current","winter",1.59994786060864,-0.435843248328542,0.250069609011858
"CIESM","Southern_California_Current","annual",3.30680082507396,-0.0795622831379515,0.214529341030668
"CIESM","Southern_California_Current","winter",2.47662259873447,-0.115520747141965,0.174029990305268
"CMCC-CM2-SR5","North_Pacific","annual",2.6581280583283,0.844837805502283,0.226755299746864
"CMCC-CM2-SR5","North_Pacific","winter",2.94621737838481,0.825681522514184,0.246407617487073
"CMCC-CM2-SR5","Eastern_Bering_Sea","annual",0.908382143180378,0.790186982498677,0.105487840473186
"CMCC-CM2-SR5","Eastern_Bering_Sea","winter",1.22533026097724,0.726257798491189,0.118719589631029
"CMCC-CM2-SR5","Gulf_of_Alaska","annual",0.192422560565051,0.394262262069321,0.232829757929982
"CMCC-CM2-SR5","Gulf_of_Alaska","winter",0.117867715987728,0.423657258257007,0.422246264616386
"CMCC-CM2-SR5","British_Columbia_Coast","annual",0.870482070661797,0.21226015859389,0.0521723724312316
"CMCC-CM2-SR5","British_Columbia_Coast","winter",0.571019168553399,0.226679461281759,0.243839826062442
"CMCC-CM2-SR5","Northern_California_Current","annual",1.11174221339877,-0.021178727897263,0.0989668279958591
"CMCC-CM2-SR5","Northern_California_Current","winter",0.637871748282116,-0.140142963661088,0.179099393916626
"CMCC-CM2-SR5","Southern_California_Current","annual",1.20557775532992,-0.0992289022740914,0.249104523222293
"CMCC-CM2-SR5","Southern_California_Current","winter",0.689476012405853,-0.151294956395471,0.19917119972982
"CMCC-ESM2","North_Pacific","annual",2.38539540413523,0.802087197076896,0.244798614722113
"CMCC-ESM2","North_Pacific","winter",2.86687815124001,0.829217852129732,0.24347243218715
"CMCC-ESM2","Eastern_Bering_Sea","annual",0.822257815885687,0.536836496027095,0.0681731556470009
"CMCC-ESM2","Eastern_Bering_Sea","winter",1.24110332272553,0.398173213214083,0.103739594818729
"CMCC-ESM2","Gulf_of_Alaska","annual",0.120733433189317,0.616541145367919,0.132021296670572
"CMCC-ESM2","Gulf_of_Alaska","winter",0.250045635020602,0.467593198589517,0.339824224306659
"CMCC-ESM2","British_Columbia_Coast","annual",0.684878125957081,0.399596815792051,0.0470289978025231
"CMCC-ESM2","British_Columbia_Coast","winter",0.634619444826628,0.425221050231207,0.162782115485672
"CMCC-ESM2","Northern_California_Current","annual",0.957181365081208,0.166794500215411,0.00778372666364879
"CMCC-ESM2","Northern_California_Current","winter",0.732597135192149,0.183425997514842,0.0132708062710871
"CMCC-ESM2","Southern_California_Current","annual",1.17652903446883,0.0309294015631652,0.0805730929153331
"CMCC-ESM2","Southern_California_Current","winter",0.786864381446742,-0.127908778596018,0.0732555075910467
"CNRM-CM6-1","North_Pacific","annual",2.60329481181212,0.863814748846338,0.217318902373094
"CNRM-CM6-1","North_Pacific","winter",2.4398245077088,0.903940288677757,0.2177737244549
