"","year","ersst.warming"
"1",1854,0.26735304496547
"2",1855,0.317038296425435
"3",1856,0.0403046651989616
"4",1857,0.116524520682178
"5",1858,-0.0687248840318233
"6",1859,0.189560330766597
"7",1860,-0.155546186148653
"8",1861,-0.0313710096064685
"9",1862,-0.0525394212413506
"10",1863,0.0117548474816349
"11",1864,0.0981902630073996
"12",1865,0.22155334891316
"13",1866,0.19071224530615
"14",1867,0.0778162927903718
"15",1868,0.0660558972278942
"16",1869,0.198312856765794
"17",1870,0.17019795969339
"18",1871,0.182129164091124
"19",1872,0.0452073494083649
"20",1873,0.168494104405712
"21",1874,0.105302817155847
"22",1875,0.174402107176089
"23",1876,0.235862477466565
"24",1877,0.439437561527757
"25",1878,0.0863904017674209
"26",1879,0.221824648508987
"27",1880,-0.0548831765869764
"28",1881,0.0877731536364426
"29",1882,0.176047863988707
"30",1883,0.360296846911149
"31",1884,0.224832084065856
"32",1885,-0.29376639527227
"33",1886,-0.16976463510734
"34",1887,-0.0383107058631076
"35",1888,0.405158397773327
"36",1889,0.217663161917756
"37",1890,-0.0266010915804902
"38",1891,0.140599962069265
"39",1892,0.122355807773598
"40",1893,-0.158591400073608
"41",1894,0.0882792888657598
"42",1895,0.0723967955221045
"43",1896,0.116797964471919
"44",1897,-0.135035693301763
"45",1898,0.0298842553093497
"46",1899,-0.0233851685552651
"47",1900,0.0771906317012601
"48",1901,0.0212649138543703
"49",1902,-0.130494447698529
"50",1903,-0.376177919472857
"51",1904,-0.527308327533467
"52",1905,-0.220564227812764
"53",1906,-0.164676274744943
"54",1907,-0.225925832968143
"55",1908,-0.610614903045201
"56",1909,-0.428855117717278
"57",1910,-0.393506384268257
"58",1911,-0.504145690669228
"59",1912,-0.279064135045767
"60",1913,-0.407705783220571
"61",1914,-0.265797638600564
"62",1915,-0.15782784085552
"63",1916,-0.2522897964742
"64",1917,-0.0328721931294407
"65",1918,-0.0304837007653305
"66",1919,-0.236626130092318
"67",1920,-0.157671868356353
"68",1921,0.0205547826880856
"69",1922,-0.0554901091069997
"70",1923,-0.0617331814123592
"71",1924,-0.105698725931676
"72",1925,0.00504047545401143
"73",1926,0.143580281117274
"74",1927,-0.0322124025919432
"75",1928,-0.168297635445589
"76",1929,-0.0876686823059085
"77",1930,0.0598070369478023
"78",1931,-0.126538286408602
"79",1932,-0.234214334025253
"80",1933,-0.161255943170193
"81",1934,-0.054271428328919
"82",1935,-0.0190404640443322
"83",1936,0.0593751050464562
"84",1937,0.0982260340490733
"85",1938,0.0162837605613397
"86",1939,-0.0790598459336156
"87",1940,-0.0351484103933171
"88",1941,0.163707651330149
"89",1942,0.222547468377925
"90",1943,0.235723202499958
"91",1944,0.363227569646508
"92",1945,0.40063642212694
"93",1946,0.108667785150429
"94",1947,-0.0791651273805289
"95",1948,0.0602890075344202
"96",1949,0.188289645195605
"97",1950,0.234087596511952
"98",1951,0.268200328819374
"99",1952,0.197821540831915
"100",1953,0.0754988440916033
"101",1954,0.112743935568021
"102",1955,0.0850582038104761
"103",1956,0.253229094569152
"104",1957,0.329908711325222
"105",1958,0.287408672980183
"106",1959,0.365565584185919
"107",1960,0.13974904080691
"108",1961,0.234863397915278
"109",1962,0.314527351326316
"110",1963,0.355812910201395
"111",1964,0.0844900048354429
"112",1965,-0.0337200677345901
"113",1966,0.121615859963692
"114",1967,0.401624567433192
"115",1968,0.219574074952028
"116",1969,0.0905694559177324
"117",1970,0.124716900463488
"118",1971,-0.0622406244295242
"119",1972,0.00805701829811944
"120",1973,0.0884458900660992
"121",1974,0.134725371523025
"122",1975,0.0370795776047572
"123",1976,-0.13528050819467
"124",1977,0.127542751554053
"125",1978,0.188473160485872
"126",1979,0.248768898412539
"127",1980,0.0682059823926977
"128",1981,0.215471010040732
"129",1982,0.0705973240765019
"130",1983,0.0964583234560852
"131",1984,0.258827279499926
"132",1985,0.0861194914865671
"133",1986,0.174943861854929
"134",1987,-0.0224377366444468
"135",1988,0.200952420330136
"136",1989,0.409097649973194
"137",1990,0.501645501018924
"138",1991,0.47077887710498
"139",1992,0.240958600546644
"140",1993,0.217411521871634
"141",1994,0.470328704997735
"142",1995,0.28931504476005
"143",1996,0.426978720895784
"144",1997,0.48168157652208
"145",1998,0.408696423938084
"146",1999,0.240204785940263
"147",2000,0.420484116668094
"148",2001,0.341367770256662
"149",2002,0.33027686929101
"150",2003,0.460571567587268
"151",2004,0.641639781158128
"152",2005,0.639007178130726
"153",2006,0.402200429935395
"154",2007,0.386452540565612
"155",2008,0.495075270887693
"156",2009,0.479503597717219
"157",2010,0.383209193671179
"158",2011,0.488426449398657
"159",2012,0.361765238477721
"160",2013,0.624328331684243
"161",2014,0.89681864080015
"162",2015,0.967735737980901
"163",2016,0.877580673677025
"164",2017,0.838791078385436
"165",2018,1.00922848841508
"166",2019,1.09426619824181
"167",2020,1.15508477299122
"168",2021,0.944413252776402
