"","year","ersst.warming"
"1",1854,0.261156355906156
"2",1855,0.307266107617327
"3",1856,0.0420355962420818
"4",1857,0.107863680887458
"5",1858,-0.0942562995887215
"6",1859,0.189636837880151
"7",1860,-0.159295638871802
"8",1861,-0.0431393059611089
"9",1862,-0.0647393459332015
"10",1863,0.00107487089848135
"11",1864,0.087380929772797
"12",1865,0.224013859165908
"13",1866,0.194161945502191
"14",1867,0.0728189998559561
"15",1868,0.0614037813128743
"16",1869,0.212675177885327
"17",1870,0.19766986068192
"18",1871,0.184740016473217
"19",1872,0.0590811076950093
"20",1873,0.178432171389431
"21",1874,0.0873992139467425
"22",1875,0.174280869519347
"23",1876,0.223920674488664
"24",1877,0.439023078926471
"25",1878,0.0953514193251337
"26",1879,0.240514702461457
"27",1880,-0.0645651082070859
"28",1881,0.0758530401076829
"29",1882,0.17174727733067
"30",1883,0.337726845150289
"31",1884,0.204547803757904
"32",1885,-0.282772149224913
"33",1886,-0.162968320620623
"34",1887,-0.0327569038246853
"35",1888,0.382912244349054
"36",1889,0.219086306013903
"37",1890,-0.0103149650898064
"38",1891,0.134376812578932
"39",1892,0.149145074633264
"40",1893,-0.154920741355037
"41",1894,0.0993768967370983
"42",1895,0.0904494703205696
"43",1896,0.130924395337853
"44",1897,-0.101182513660364
"45",1898,0.027667368605556
"46",1899,-0.0371027980241845
"47",1900,0.0708252662630748
"48",1901,0.0422728287618472
"49",1902,-0.142871312938993
"50",1903,-0.358842694587649
"51",1904,-0.517069240033548
"52",1905,-0.231192249362078
"53",1906,-0.168196452218298
"54",1907,-0.229223395958844
"55",1908,-0.600902127743188
"56",1909,-0.41949285353529
"57",1910,-0.382234294542885
"58",1911,-0.487495468586062
"59",1912,-0.264494723251474
"60",1913,-0.405991384384347
"61",1914,-0.269120728268337
"62",1915,-0.163150834994603
"63",1916,-0.243643962278043
"64",1917,-0.0449266094054153
"65",1918,-0.0396497717133553
"66",1919,-0.237499601563659
"67",1920,-0.149001769099479
"68",1921,0.0181198886054297
"69",1922,-0.0513018810856138
"70",1923,-0.0645632371754008
"71",1924,-0.0934423260722017
"72",1925,-0.00801263511926287
"73",1926,0.107696235131808
"74",1927,-0.0464934829698311
"75",1928,-0.174751459889817
"76",1929,-0.095463693269954
"77",1930,0.0531065293647064
"78",1931,-0.121585965522026
"79",1932,-0.241750633430918
"80",1933,-0.161335659554879
"81",1934,-0.0612527828491309
"82",1935,-0.0308564660595163
"83",1936,0.0240668469409151
"84",1937,0.0828780941407903
"85",1938,0.0268587103724389
"86",1939,-0.0733265715914584
"87",1940,-0.0367782979120541
"88",1941,0.158351858940797
"89",1942,0.211284016906735
"90",1943,0.250877485959073
"91",1944,0.362298823947359
"92",1945,0.409198746153727
"93",1946,0.130299740386551
"94",1947,-0.0615746310878293
"95",1948,0.0673069022252228
"96",1949,0.204346521559586
"97",1950,0.263555557355545
"98",1951,0.288810352741582
"99",1952,0.224703007114503
"100",1953,0.0943070481009034
"101",1954,0.127530159542292
"102",1955,0.099644641292441
"103",1956,0.253800445052864
"104",1957,0.316576752696879
"105",1958,0.291185896073415
"106",1959,0.372847050418031
"107",1960,0.149997193717773
"108",1961,0.24530416069484
"109",1962,0.313611314622253
"110",1963,0.34861231814876
"111",1964,0.100894486365837
"112",1965,-0.0230384352646631
"113",1966,0.137166274991529
"114",1967,0.402580776408861
"115",1968,0.227400565190823
"116",1969,0.101141017871658
"117",1970,0.127737226065882
"118",1971,-0.0425319104702009
"119",1972,0.0186878407097293
"120",1973,0.102543717239099
"121",1974,0.132156400682021
"122",1975,0.0488411397486903
"123",1976,-0.118817685973607
"124",1977,0.129260128714748
"125",1978,0.185738099539176
"126",1979,0.241824086214194
"127",1980,0.0755219248425494
"128",1981,0.204183852170356
"129",1982,0.0737183560811339
"130",1983,0.0873497256020173
"131",1984,0.253152831344639
"132",1985,0.0913893126875376
"133",1986,0.165500830991434
"134",1987,-0.0172185292612514
"135",1988,0.21879825247856
"136",1989,0.408317573418994
"137",1990,0.500290142581729
"138",1991,0.466516045346815
"139",1992,0.248857273507326
"140",1993,0.207567687768606
"141",1994,0.464634540508577
"142",1995,0.290842326046825
"143",1996,0.412611092807467
"144",1997,0.464250538073895
"145",1998,0.41663836903259
"146",1999,0.265105247080786
"147",2000,0.435543752946906
"148",2001,0.363539216876152
"149",2002,0.329354687361395
"150",2003,0.445787272519581
"151",2004,0.635628972243875
"152",2005,0.625058785890491
"153",2006,0.401874846878837
"154",2007,0.392085764144486
"155",2008,0.505127891819022
"156",2009,0.488371356858138
"157",2010,0.382528753330732
"158",2011,0.484331162638291
"159",2012,0.374966918367861
"160",2013,0.620951727854674
"161",2014,0.875194195749124
"162",2015,0.963248063384956
"163",2016,0.863825332994992
"164",2017,0.837897878973589
"165",2018,0.98835406050144
"166",2019,1.07974162740334
"167",2020,1.15389240276315
"168",2021,0.952387422335235
"169",2022,1.16270634179714
