"","year_fac","estimate__","ymin.95","ymax.95","ymin.90","ymax.90","ymin.80","ymax.80","year","se__"
"1","1970",0.253547255859349,0.138548812918266,0.42343791617423,0.154037664910193,0.392605820299335,0.172330284486701,0.357915485630442,1970,0.0713068019830283
"2","1971",0.0420907019678993,0.017772413204522,0.0931383838068038,0.0206137265570752,0.0814810902287983,0.024400738375516,0.070616310018035,1971,0.0170676285825227
"3","1972",0.0114403599395383,0.00436786835352973,0.0278761106867755,0.00514906202299882,0.0241425673475678,0.00617541931630473,0.0205723951242935,1972,0.00516521207681279
"4","1973",0.00989014000198371,0.00384367083780189,0.0242370620141456,0.00451166725453894,0.0209233945422961,0.0053958349031373,0.0177827400033624,1973,0.00450845541359271
"5","1974",0.0183451508435508,0.00731397760411989,0.0433158772747346,0.00853154381521022,0.0374845532185999,0.0101182009099185,0.0320031776857488,1974,0.00798031368270739
"6","1975",0.0270127056654482,0.0110087938666917,0.0615456420930822,0.0129525630256474,0.0538005283020647,0.0153226813914065,0.0464670517905276,1975,0.011452544385255
"7","1976",0.0400089684827365,0.0169118074986148,0.0895493594123316,0.0198354394613721,0.0784514555181424,0.0232451247570489,0.0678150527769045,1976,0.0161172906060266
"8","1977",0.153722316521285,0.0752161920118448,0.290402359788614,0.0849196712344197,0.263699883979374,0.0979856471742858,0.233754253712902,1977,0.0502892785985138
"9","1978",0.261773662590372,0.140409726681989,0.435830584160694,0.158312910230222,0.40309837812016,0.178546526929319,0.367142694916797,1978,0.0729012739528962
"10","1979",0.327898416156782,0.187336980135073,0.512229813597144,0.208243695242229,0.478595521626368,0.233100496307615,0.441511912392648,1979,0.0801759342167743
"11","1980",0.205082049495614,0.106025020473869,0.359663791977962,0.119211298309517,0.328813401000697,0.136431863228865,0.297257118013859,1980,0.0605155275938283
"12","1981",0.391986851939913,0.233921146980949,0.579507385393269,0.25771492469136,0.545343011902489,0.287056988860446,0.509739970168872,1981,0.0865059789188861
"13","1982",0.17772060647643,0.0900950493858266,0.317306475664571,0.101430196482911,0.289896346982063,0.115853091673821,0.2615665725429,1982,0.0550589196493004
"14","1983",0.380246305044094,0.226222578818889,0.567457317583394,0.249601522446091,0.535947150887521,0.27746895211013,0.499097596642589,1983,0.0853593627798319
"15","1984",0.398213031407924,0.239198521173952,0.585292047135461,0.265117280533935,0.553273570931915,0.293077248065417,0.51681181359428,1984,0.086875847117994
"16","1985",0.420814462099151,0.256656455709869,0.608322750232536,0.282029573562791,0.576642897588949,0.31189129213771,0.540396721184914,1985,0.0887465082170817
"17","1986",0.328764333191284,0.187081602645082,0.512077947248163,0.207721820739658,0.478981754131851,0.233024300071124,0.443380479382224,1986,0.0810099955228589
"18","1987",0.238718964201163,0.125525911060244,0.40373327973346,0.142424834092289,0.371322854893213,0.161016441995413,0.338338027484165,1987,0.068020835937885
"19","1988",0.365989519348415,0.215046779558606,0.553804973352141,0.237655549726029,0.520734433920838,0.263861387762493,0.483730674145672,1988,0.0854246337788179
"20","1989",0.285430622479461,0.158398956655297,0.460865392560145,0.176761314317403,0.42780446275309,0.19926618994172,0.393258988939179,1989,0.074274786840213
"21","1990",0.339226372501959,0.194325359847074,0.524619001200247,0.216487291000291,0.491594449000323,0.24281162563359,0.455204488174042,1990,0.0818820843447583
"22","1991",0.246873737361235,0.132236777547287,0.414473542300414,0.148128271633641,0.382126482767657,0.167199051713233,0.348307011384524,1991,0.0697508664279078
"23","1992",0.258018025524193,0.137783799933711,0.43042882780405,0.1545738542619,0.398045465600352,0.175475501458469,0.363479844226569,1992,0.0722654168679111
"24","1993",0.204224619432002,0.105946034770965,0.358552739418696,0.119600093034246,0.327624683649977,0.135909179696807,0.296769808290714,1993,0.0613579405245337
"25","1994",0.364235543802161,0.214212364568934,0.550629959872213,0.235785886120413,0.516561073218447,0.262022865395135,0.482031077442552,1994,0.0846862837817365
"26","1995",0.321576560178874,0.181901011280337,0.505876751538797,0.20227290450071,0.470663401783087,0.226637161763593,0.433794855470742,1995,0.0804208929787077
"27","1996",0.251116514991461,0.133397042890325,0.42258236874352,0.149791522767623,0.391115841142421,0.169379354352324,0.355120964859411,1996,0.070977468682797
"28","1997",0.337516053917153,0.193451500803783,0.522175678865016,0.215406904877934,0.488869235855397,0.240563345798381,0.452614111266633,1997,0.0818968884567041
"29","1998",0.408805137580124,0.247790619370281,0.59356755989633,0.273351303099758,0.562471870312369,0.301442334561768,0.526623002432519,1998,0.0875274001688428
"30","1999",0.392565169165354,0.235723931170169,0.580908014304264,0.258913665862297,0.549693412144396,0.286666819381645,0.511378425680793,1999,0.0868598259691352
"31","2000",0.247351989587832,0.131499453021154,0.416016926872774,0.148777015039655,0.38349667820141,0.168123058316366,0.34917481526894,2000,0.0692748593996576
"32","2001",0.241019217321504,0.126766926755643,0.409696849261438,0.142699556442333,0.379467603525043,0.162221373661651,0.343416084575378,2001,0.0687443260513051
"33","2002",0.224665941320625,0.119762853023512,0.385191681867297,0.134237938238914,0.353867540318099,0.151306913070156,0.321552493031817,2002,0.0656474200115524
"34","2003",0.402029270951461,0.242030840070751,0.589090867322215,0.266580108370341,0.555581424732648,0.294848726397966,0.520423478541219,2003,0.0868196824192033
