"Model","SSP5.8.5","SSP2.4.5"
"ACCESS-CM2","X","X"
"ACCESS-ESM1-5","X","X"
"BCC-CSM2-MR","X","X"
"CAMS-CSM1-0","X","X"
"CanESM5-CanOE","X","X"
"CanESM5","X","X"
"CESM2-WACCM","X","X"
"CESM2","X","X"
"CIESM","X","X"
"CMCC-CM2-SR5","X","X"
"CMCC-ESM2","X","X"
"CNRM-CM6-1","X",NA
"EC-Earth3-CC","X",NA
"GISS-E2-1-G","X","X"
"HadGEM3-GC31-LL","X","X"
"HadGEM3-GC31-MM","X",NA
"INM-CM4-8","X","X"
"INM-CM5-0","X","X"
"MIROC-ES2L","X","X"
"MIROC6","X","X"
"NorESM2-LM","X","X"
"NorESM2-MM","X","X"
"UKESM1-0-LL","X","X"
