Survey,Haul,Latitude,Longitude,DateTime,Length (mm),Weight (g),Age,Maturity,MaturityTable,Sex
199605,29,58.16383,-154.0835,3/24/1996 5:35,530,1324,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,490,944,5,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,540,1192,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,500,860,,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,550,1310,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,480,984,8,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,510,984,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,580,1218,,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,510,910,,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,550,1176,7,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,530,1218,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,540,1172,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,490,776,7,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,510,978,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,490,784,7,6,11,1
199605,29,58.16383,-154.0835,3/24/1996 5:35,460,858,,3,11,1
199605,29,58.16383,-154.0835,3/24/1996 5:35,560,1322,,6,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,540,1370,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,550,1216,,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,460,734,6,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,550,1796,8,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,510,1004,6,6,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,560,1386,7,6,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,540,1272,6,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,550,1268,7,5,11,1
199605,29,58.16383,-154.0835,3/24/1996 5:35,500,1162,7,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,550,1420,9,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,530,1048,7,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,490,1028,5,6,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,580,1460,,6,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,510,1116,8,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,550,1164,,6,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,530,1282,9,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,540,1376,6,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,480,770,,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,540,1064,8,7,11,1
199605,29,58.16383,-154.0835,3/24/1996 5:35,530,1020,,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,530,1116,6,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,450,894,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,540,1210,9,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,470,840,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,610,1580,10,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,530,1456,6,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,480,768,7,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,600,1804,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,470,630,,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,480,1088,8,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,540,1252,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,500,960,,5,11,1
199605,29,58.16383,-154.0835,3/24/1996 5:35,430,536,7,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,500,964,7,2,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,520,998,5,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,540,1048,11,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,560,1628,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,520,994,8,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,550,1406,6,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,540,1118,7,5,11,1
199605,29,58.16383,-154.0835,3/24/1996 5:35,610,2222,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,530,1218,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,560,1620,8,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,460,682,5,7,11,1
199605,29,58.16383,-154.0835,3/24/1996 5:35,530,1236,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,560,1264,,4,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,560,1730,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,630,1722,,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,550,1460,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,530,1150,,6,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,540,1228,7,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,550,1384,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,510,960,,6,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,570,1728,9,6,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,620,1754,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,500,1112,6,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,520,992,9,5,11,1
199605,29,58.16383,-154.0835,3/24/1996 5:35,500,944,7,5,11,1
199605,29,58.16383,-154.0835,3/24/1996 5:35,640,2482,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,530,960,8,6,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,500,1168,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,550,1568,,6,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,530,1284,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,490,890,,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,620,1758,12,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,530,988,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,510,1160,,6,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,540,1116,7,6,11,1
199605,29,58.16383,-154.0835,3/24/1996 5:35,530,1366,5,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,560,1434,8,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,560,1472,6,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,590,1686,,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,510,996,,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,520,836,,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,540,1088,7,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,520,1100,9,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,520,1040,,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,510,1110,7,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,530,1420,,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,440,706,,7,11,1
199605,29,58.16383,-154.0835,3/24/1996 5:35,540,906,6,7,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,490,1032,7,5,11,2
199605,29,58.16383,-154.0835,3/24/1996 5:35,520,844,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,560,1402,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,610,1436,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,570,1488,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,540,1500,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,570,1570,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,580,1576,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,550,1598,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,560,1648,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,590,1686,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,510,1044,,6,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,520,1048,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,520,1054,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,540,1058,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,540,1058,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,530,1078,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,500,1082,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,570,1082,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,530,1090,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,540,1110,,4,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,550,1118,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,560,1120,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,520,1126,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,530,1142,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,580,1160,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,500,1168,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,560,1192,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,570,1198,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,570,1242,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,560,1244,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,530,1248,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,520,1254,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,530,1260,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,570,1266,,6,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,570,1268,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,570,1302,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,560,1346,,4,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,550,1354,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,530,1366,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,580,1392,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,500,756,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,490,798,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,490,804,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,520,806,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,490,808,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,530,812,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,510,828,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,470,836,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,470,840,,5,11,1
199605,30,58.06633,-154.22067,3/24/1996 8:01,490,846,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,510,852,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,520,854,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,460,866,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,510,866,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,510,902,,6,11,1
199605,30,58.06633,-154.22067,3/24/1996 8:01,510,910,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,520,916,,6,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,520,916,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,510,922,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,500,932,,6,11,1
199605,30,58.06633,-154.22067,3/24/1996 8:01,520,936,,5,11,1
199605,30,58.06633,-154.22067,3/24/1996 8:01,530,936,,5,11,1
199605,30,58.06633,-154.22067,3/24/1996 8:01,560,938,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,530,956,,6,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,550,966,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,550,996,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,550,996,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,440,1002,,6,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,490,1016,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,480,1020,,5,11,1
199605,30,58.06633,-154.22067,3/24/1996 8:01,530,1026,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,140,14,,1,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,190,42,,1,11,1
199605,30,58.06633,-154.22067,3/24/1996 8:01,200,42,,1,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,210,44,,1,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,200,46,,1,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,210,52,,1,11,1
199605,30,58.06633,-154.22067,3/24/1996 8:01,210,52,,1,11,1
199605,30,58.06633,-154.22067,3/24/1996 8:01,230,66,,1,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,280,144,,2,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,310,192,,2,11,1
199605,30,58.06633,-154.22067,3/24/1996 8:01,460,620,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,450,640,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,490,694,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,480,710,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,460,734,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,480,740,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,520,1400,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,490,996,,6,11,1
199605,30,58.06633,-154.22067,3/24/1996 8:01,500,1024,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,420,590,,5,11,1
199605,30,58.06633,-154.22067,3/24/1996 8:01,600,1230,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,550,1348,,4,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,510,822,,7,11,1
199605,30,58.06633,-154.22067,3/24/1996 8:01,520,904,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,520,974,,5,11,1
199605,30,58.06633,-154.22067,3/24/1996 8:01,140,14,,1,11,1
199605,30,58.06633,-154.22067,3/24/1996 8:01,340,268,,2,11,1
199605,30,58.06633,-154.22067,3/24/1996 8:01,600,1978,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,520,1084,,4,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,520,1310,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,530,1082,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,550,1208,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,540,1394,,5,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,500,806,,7,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,520,880,,6,11,2
199605,30,58.06633,-154.22067,3/24/1996 8:01,510,986,,5,11,1
199605,30,58.06633,-154.22067,3/24/1996 8:01,480,702,,7,11,1
199605,30,58.06633,-154.22067,3/24/1996 8:01,490,706,,7,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,590,1576,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,550,1600,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,560,1626,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,560,1632,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,540,1636,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,540,1668,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,550,1674,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,560,1696,,6,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,590,1718,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,600,1772,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,600,1772,,6,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,560,1776,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,590,1784,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,550,1808,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,580,2144,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,640,2326,,4,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,610,2336,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,540,1338,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,520,1342,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,550,1342,,7,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,520,1352,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,570,1358,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,500,1364,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,510,1366,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,510,1370,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,510,1372,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,540,1374,,6,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,560,1382,,4,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,530,1394,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,550,1398,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,540,1402,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,550,1414,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,510,1418,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,510,1418,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,570,1428,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,540,1432,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,550,1438,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,530,1456,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,540,1466,,6,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,540,1466,,5,11,2
199605,31,58.2265,-154.08583,3/24/1996 11:41,540,1504,,5,11,2
