"","year","annual.sst","two.yr.sst","three.yr.sst"
"1900",1900,8.19804845067362,NA,NA
"1901",1901,6.38953985739499,7.29379415403431,NA
"1902",1902,7.65503833753367,7.02228909746433,7.41420888186743
"1903",1903,6.67231697651247,7.16367765702307,6.90563172381371
"1904",1904,6.24371396408727,6.45801547029987,6.85702309271114
"1905",1905,7.4803575227658,6.86203574342653,6.79879615445518
"1906",1906,7.59882215969265,7.53958984122922,7.10763121551524
"1907",1907,5.86141309887171,6.73011762928218,6.98019759377672
"1908",1908,6.21347367142638,6.03744338514904,6.55790297666358
"1909",1909,6.0053951550896,6.10943441325799,6.02676064179589
"1910",1910,6.22074040522178,6.11306778015569,6.14653641057925
"1911",1911,6.9882591413334,6.60449977327759,6.40479823388159
"1912",1912,7.79603644646704,7.39214779390022,7.00167866434074
"1913",1913,7.62632551851372,7.71118098249038,7.47020703543805
"1914",1914,7.25008221467336,7.43820386659354,7.55748139321804
"1915",1915,8.35239718668163,7.80123970067749,7.74293497328957
"1916",1916,6.44858622395744,7.40049170531953,7.35035520843748
"1917",1917,6.81570974395921,6.63214798395832,7.20556438486609
"1918",1918,6.46165602467954,6.63868288431937,6.5753173308654
"1919",1919,6.74058376376828,6.60111989422391,6.67264984413568
"1920",1920,6.99152750583986,6.86605563480407,6.73125576476256
"1921",1921,7.33454475924373,7.1630361325418,7.02221867628396
"1922",1922,7.21300746686757,7.27377611305565,7.17969324398372
"1923",1923,7.57855067650477,7.39577907168617,7.37536763420535
"1924",1924,7.06837002094835,7.32346034872656,7.28664272144023
"1925",1925,6.99695783418914,7.03266392756874,7.21462617721409
"1926",1926,8.68833564904829,7.84264674161871,7.58455450139526
"1927",1927,7.60607190492253,8.14720377698541,7.76378846271998
"1928",1928,7.2155146493266,7.41079327712456,7.83664073443247
"1929",1929,8.20384243006507,7.70967853969584,7.6751429947714
"1930",1930,7.63932578607152,7.9215841080683,7.68622762182107
"1931",1931,7.70242479753991,7.67087529180571,7.84853100455884
"1932",1932,7.42068151695033,7.56155315724512,7.58747736685392
