"","year","anomaly"
"1",1900,0.835411284846068
"2",1901,-1.81917996381262
"3",1902,0.0383623243756933
"4",1903,-1.40410996164619
"5",1904,-2.03322823631806
"6",1905,-0.218040196416717
"7",1906,-0.0441537191114391
"8",1907,-2.59438262337909
"9",1908,-2.07761598020428
"10",1909,-2.38304079850726
"11",1910,-2.06694961787053
"12",1911,-0.940359162267649
"13",1912,0.24532420857299
"14",1913,-0.00378334105158994
"15",1914,-0.556046230734844
"16",1915,1.06196967963124
"17",1916,-1.73250967176961
"18",1917,-1.19363311514419
"19",1918,-1.71332536778148
"20",1919,-1.30390561830117
"21",1920,-0.935561744191489
"22",1921,-0.432069196570209
"23",1922,-0.610465823451883
"24",1923,-0.0739089008495063
"25",1924,-0.82276965191721
"26",1925,-0.927590921068561
"27",1926,1.55507173377724
"28",1927,-0.0335122931797237
"29",1928,-0.606785694621263
"30",1929,0.843915887502992
"31",1930,0.0152988997613184
"32",1931,0.107917803683328
"33",1932,-0.305634694657642
"34",1933,-0.43509675483329
"35",1934,0.386510528000888
"36",1935,0.406392756423803
"37",1936,2.20181498623192
"38",1937,1.02281555949785
"39",1938,-0.167959063295522
"40",1939,-0.369743926875506
"41",1940,1.18627285645312
"42",1941,2.13519824030525
"43",1942,1.70002740426717
"44",1943,-0.42873267098183
"45",1944,0.498542452349912
"46",1945,0.734235095310452
"47",1946,0.159387309857048
"48",1947,-1.08135688568744
"49",1948,-0.799910832112863
"50",1949,-0.749089332457951
"51",1950,-0.754412651433661
"52",1951,0.016833648637126
"53",1952,-0.0350119545638797
"54",1953,0.391266554766488
"55",1954,0.641128864356027
"56",1955,0.110763979286088
"57",1956,0.267313797185343
"58",1957,1.48895212011468
"59",1958,1.37764424181521
"60",1959,1.06229715103909
"61",1960,0.476442513642384
"62",1961,0.746815283211303
"63",1962,0.689148648695195
"64",1963,1.28481445797184
"65",1964,0.0818061837049318
"66",1965,-0.647401783092978
"67",1966,-0.393081093709438
"68",1967,0.435396760264314
"69",1968,0.424620217346782
"70",1969,-0.295520399038765
"71",1970,0.280224000987671
"72",1971,-1.39451579169188
"73",1972,-1.37258278707666
"74",1973,-0.895441688893871
"75",1974,0.0717273888756518
"76",1975,-1.01831204057838
"77",1976,-0.38078173697644
"78",1977,0.959860955055589
"79",1978,0.163982103490171
"80",1979,0.917874391565104
"81",1980,0.160589331104742
"82",1981,1.3125829625199
"83",1982,-0.302494056801392
"84",1983,1.41102095156571
"85",1984,1.52799552287821
"86",1985,-0.134696935501281
"87",1986,0.493728521038729
"88",1987,0.758963157818092
"89",1988,0.49524315456238
"90",1989,0.665485783032239
"91",1990,0.419481072956968
"92",1991,-0.0233045311651147
"93",1992,0.148095942151438
"94",1993,1.03448790269577
"95",1994,0.520004616282864
"96",1995,0.0262875137367285
"97",1996,0.238439239901095
"98",1997,1.553614729571
"99",1998,1.05601906323444
"100",1999,-0.333412296317214
"101",2000,0.116840643809099
"102",2001,0.371326635054263
"103",2002,0.67024861212606
"104",2003,1.56718492598816
"105",2004,1.23130604914993
"106",2005,1.71231296222584
"107",2006,0.234743154215594
"108",2007,-0.168991034084163
"109",2008,-0.369570441988011
"110",2009,-0.096916282809587
"111",2010,0.757370174487429
"112",2011,0.416107108134175
"113",2012,-0.440378285149154
"114",2013,0.777995807890245
"115",2014,2.11961991803856
"116",2015,2.02048184237634
"117",2016,2.82940682583281
"118",2017,1.24566529650242
"119",2018,1.94467304762279
"120",2019,2.75015950884433
"121",2020,1.4166255942948
