"","year","model","anomaly"
"1",1900,"ACCESS-CM2.nc",17.4348867425456
"2",1900,"CESM2-WACCM.nc",18.4959998669058
"3",1900,"CIESM.nc",18.5095867228489
"4",1900,"CMCC-CM2-SR5.nc",17.9751939194742
"5",1900,"CMCC-ESM2.nc",17.5312504832482
"6",1900,"CNRM-CM6-1.nc",18.2029417916332
"7",1900,"EC-Earth3-CC.nc",17.767773002544
"8",1900,"INM-CM5-0.nc",17.0490228422018
"9",1900,"MIROC-ES2L.nc",17.698368702633
"10",1900,"MIROC6.nc",17.6592479225476
"11",1901,"ACCESS-CM2.nc",17.3280853869795
"12",1901,"CESM2-WACCM.nc",18.4982237836137
"13",1901,"CIESM.nc",18.3442333090934
"14",1901,"CMCC-CM2-SR5.nc",17.9720622694218
"15",1901,"CMCC-ESM2.nc",17.7802691571436
"16",1901,"CNRM-CM6-1.nc",18.0300492137996
"17",1901,"EC-Earth3-CC.nc",17.8388281050238
"18",1901,"INM-CM5-0.nc",17.091816346491
"19",1901,"MIROC-ES2L.nc",17.7839234902957
"20",1901,"MIROC6.nc",17.6062206240863
"21",1902,"ACCESS-CM2.nc",17.3217289416166
"22",1902,"CESM2-WACCM.nc",18.1534305103107
"23",1902,"CIESM.nc",18.5415214437525
"24",1902,"CMCC-CM2-SR5.nc",17.7854440944735
"25",1902,"CMCC-ESM2.nc",17.3545910492937
"26",1902,"CNRM-CM6-1.nc",18.0102268082318
"27",1902,"EC-Earth3-CC.nc",17.7071430642968
"28",1902,"INM-CM5-0.nc",17.0525615988951
"29",1902,"MIROC-ES2L.nc",17.3788860167743
"30",1902,"MIROC6.nc",17.6280681059034
"31",1903,"ACCESS-CM2.nc",16.9768931958171
"32",1903,"CESM2-WACCM.nc",18.3577288906287
"33",1903,"CIESM.nc",18.7176912213539
"34",1903,"CMCC-CM2-SR5.nc",17.5185189418515
"35",1903,"CMCC-ESM2.nc",17.0682304088653
"36",1903,"CNRM-CM6-1.nc",17.8523392125912
"37",1903,"EC-Earth3-CC.nc",17.8146962060561
"38",1903,"INM-CM5-0.nc",16.6626663597258
"39",1903,"MIROC-ES2L.nc",17.3878431805038
"40",1903,"MIROC6.nc",17.3741887408317
"41",1904,"ACCESS-CM2.nc",16.8118778831797
"42",1904,"CESM2-WACCM.nc",18.0762838535692
"43",1904,"CIESM.nc",18.7874599422823
"44",1904,"CMCC-CM2-SR5.nc",17.4548485671577
"45",1904,"CMCC-ESM2.nc",16.9494651872565
"46",1904,"CNRM-CM6-1.nc",17.610560238346
"47",1904,"EC-Earth3-CC.nc",17.5254170841026
"48",1904,"INM-CM5-0.nc",16.8905402426665
"49",1904,"MIROC-ES2L.nc",17.4926871621286
"50",1904,"MIROC6.nc",17.3683723756283
"51",1905,"ACCESS-CM2.nc",16.7384000138841
"52",1905,"CESM2-WACCM.nc",18.2515129605679
"53",1905,"CIESM.nc",18.7969788294079
"54",1905,"CMCC-CM2-SR5.nc",17.2172337635639
"55",1905,"CMCC-ESM2.nc",17.1806098450035
"56",1905,"CNRM-CM6-1.nc",17.5146771782357
"57",1905,"EC-Earth3-CC.nc",17.580877657921
"58",1905,"INM-CM5-0.nc",17.0794645934411
"59",1905,"MIROC-ES2L.nc",17.4346020015588
"60",1905,"MIROC6.nc",17.720014160387
"61",1906,"ACCESS-CM2.nc",16.6203298488281
"62",1906,"CESM2-WACCM.nc",18.0368735768137
"63",1906,"CIESM.nc",19.1047425343649
"64",1906,"CMCC-CM2-SR5.nc",17.1466345090251
"65",1906,"CMCC-ESM2.nc",17.2763999007114
"66",1906,"CNRM-CM6-1.nc",17.625599195931
"67",1906,"EC-Earth3-CC.nc",17.4906906824866
"68",1906,"INM-CM5-0.nc",17.1496722421639
"69",1906,"MIROC-ES2L.nc",17.7296808553366
"70",1906,"MIROC6.nc",17.6930685455022
"71",1907,"ACCESS-CM2.nc",16.9897597006673
"72",1907,"CESM2-WACCM.nc",17.8764506591758
"73",1907,"CIESM.nc",19.1291948110777
"74",1907,"CMCC-CM2-SR5.nc",17.2683392566444
"75",1907,"CMCC-ESM2.nc",17.2468137153158
"76",1907,"CNRM-CM6-1.nc",17.7636984756262
"77",1907,"EC-Earth3-CC.nc",17.5534689694227
"78",1907,"INM-CM5-0.nc",17.2074506768584
"79",1907,"MIROC-ES2L.nc",17.7076481973936
