"","year","ersst"
"1900",1900,18.0732246993317
"1901",1901,17.9452230968922
"1902",1902,17.8199413369857
"1903",1903,17.476539530478
"1904",1904,17.2774373294206
"1905",1905,17.7446370854236
"1906",1906,17.7304920509621
"1907",1907,17.7663253081003
"1908",1908,17.232046651705
"1909",1909,17.226573633237
"1910",1910,17.2130393496305
"1911",1911,17.2863997450005
"1912",1912,17.5718463096325
"1913",1913,17.489039904384
"1914",1914,17.5666030970575
"1915",1915,17.649150358994
"1916",1916,17.3212027876916
"1917",1917,17.5791661619779
"1918",1918,17.8490183244085
"1919",1919,17.5296881397973
"1920",1920,17.7079063065857
"1921",1921,17.7752736692633
"1922",1922,17.7868352144671
"1923",1923,17.8564796336039
"1924",1924,17.7236746732752
"1925",1925,17.8201627046517
"1926",1926,18.1784084572374
"1927",1927,17.7971847115743
"1928",1928,17.7104946516603
"1929",1929,17.8575027171247
"1930",1930,17.9735186220845
"1931",1931,17.8510319724656
"1932",1932,17.5925084152558
"1933",1933,17.5575785265714
"1934",1934,18.0421204378417
"1935",1935,18.0231133694112
"1936",1936,18.222776266067
"1937",1937,18.0669755867226
"1938",1938,17.9170955709212
"1939",1939,17.9075304218109
"1940",1940,18.2692089213207
"1941",1941,18.5403380841075
"1942",1942,18.2823043467043
"1943",1943,18.228208870882
"1944",1944,18.3076112949579
"1945",1945,18.3638454992193
"1946",1946,17.940487110859
"1947",1947,18.0822665194364
"1948",1948,17.8792493910775
"1949",1949,18.0013372997676
"1950",1950,17.9949362734799
"1951",1951,18.0873472993882
"1952",1952,17.9929333466043
"1953",1953,18.0009657718235
"1954",1954,17.9899499420491
"1955",1955,17.7444165519545
"1956",1956,17.9290503578258
"1957",1957,18.4882800066508
"1958",1958,18.3767527506041
"1959",1959,18.3799554708189
"1960",1960,18.034711283413
"1961",1961,18.0608911488135
"1962",1962,18.1949429269946
"1963",1963,18.424402675477
"1964",1964,18.0405596136779
"1965",1965,18.0122967448948
"1966",1966,18.0895233267364
"1967",1967,18.3927430748846
"1968",1968,18.3038833454836
"1969",1969,18.0194641971073
"1970",1970,17.9922299839816
"1971",1971,17.6804140157785
"1972",1972,17.9217660637261
"1973",1973,17.7698028618382
"1974",1974,17.9835846373802
"1975",1975,17.6131724470874
"1976",1976,17.7744702057277
"1977",1977,18.1045329032352
"1978",1978,18.1209875657799
"1979",1979,18.2059204793551
"1980",1980,18.0434974988847
"1981",1981,18.1911939355532
"1982",1982,18.0741634096117
"1983",1983,18.0373648670626
"1984",1984,18.2497561137237
"1985",1985,18.1198806687789
"1986",1986,18.3167979355365
"1987",1987,18.0047650425513
"1988",1988,18.0544216845459
"1989",1989,18.2784908432776
"1990",1990,18.4163308637669
"1991",1991,18.3724449181533
"1992",1992,18.3608229400267
"1993",1993,18.3406707005137
"1994",1994,18.4129019586401
"1995",1995,18.2449881001514
"1996",1996,18.4120500448228
"1997",1997,18.4945240078847
"1998",1998,18.0369561136757
"1999",1999,17.7421903246653
"2000",2000,18.1177064305921
"2001",2001,18.177744578439
"2002",2002,18.1986375183089
"2003",2003,18.3827434546476
"2004",2004,18.5753048226829
"2005",2005,18.5319930607269
"2006",2006,18.2699098303733
"2007",2007,18.0896349224234
"2008",2008,17.9965204167047
"2009",2009,18.2954640514516
"2010",2010,18.0127977893785
"2011",2011,18.1418007068381
"2012",2012,18.0436214227156
"2013",2013,18.4716733110535
"2014",2014,18.9930247287761
"2015",2015,19.1903656045666
"2016",2016,18.8365647029627
"2017",2017,18.6985121818379
"2018",2018,18.8479840275883
"2019",2019,19.0738708425345
"2020",2020,18.9596491066829
